ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,VIVTOT,POBTOT
06,Colima,000,Total de la entidad Colima,0000,Total de la entidad,0000,000,288978,731391
06,Colima,001,Armería,0000,Total del municipio,0000,000,11236,27626
06,Colima,001,Armería,0001,Total de la localidad urbana,0000,000,5609,15368
06,Colima,001,Armería,0001,Total AGEB urbana,0081,000,560,1389
06,Colima,001,Armería,0001,Ciudad de Armería,0081,001,17,41
06,Colima,001,Armería,0001,Ciudad de Armería,0081,002,14,30
06,Colima,001,Armería,0001,Ciudad de Armería,0081,003,14,35
06,Colima,001,Armería,0001,Ciudad de Armería,0081,004,8,15
06,Colima,001,Armería,0001,Ciudad de Armería,0081,005,14,29
06,Colima,001,Armería,0001,Ciudad de Armería,0081,006,32,78
06,Colima,001,Armería,0001,Ciudad de Armería,0081,007,28,93
06,Colima,001,Armería,0001,Ciudad de Armería,0081,008,15,41
06,Colima,001,Armería,0001,Ciudad de Armería,0081,009,19,44
06,Colima,001,Armería,0001,Ciudad de Armería,0081,010,14,39
06,Colima,001,Armería,0001,Ciudad de Armería,0081,011,9,11
06,Colima,001,Armería,0001,Ciudad de Armería,0081,012,21,36
06,Colima,001,Armería,0001,Ciudad de Armería,0081,013,10,23
06,Colima,001,Armería,0001,Ciudad de Armería,0081,014,20,50
06,Colima,001,Armería,0001,Ciudad de Armería,0081,015,9,24
06,Colima,001,Armería,0001,Ciudad de Armería,0081,016,10,36
06,Colima,001,Armería,0001,Ciudad de Armería,0081,017,14,38
06,Colima,001,Armería,0001,Ciudad de Armería,0081,018,16,40
06,Colima,001,Armería,0001,Ciudad de Armería,0081,019,0,0
06,Colima,001,Armería,0001,Ciudad de Armería,0081,020,14,36
06,Colima,001,Armería,0001,Ciudad de Armería,0081,021,7,7
06,Colima,001,Armería,0001,Ciudad de Armería,0081,022,6,19
06,Colima,001,Armería,0001,Ciudad de Armería,0081,023,13,25
06,Colima,001,Armería,0001,Ciudad de Armería,0081,024,6,13
06,Colima,001,Armería,0001,Ciudad de Armería,0081,025,13,26
06,Colima,001,Armería,0001,Ciudad de Armería,0081,026,8,16
06,Colima,001,Armería,0001,Ciudad de Armería,0081,027,19,45
06,Colima,001,Armería,0001,Ciudad de Armería,0081,028,14,31
06,Colima,001,Armería,0001,Ciudad de Armería,0081,029,19,37
06,Colima,001,Armería,0001,Ciudad de Armería,0081,030,6,28
06,Colima,001,Armería,0001,Ciudad de Armería,0081,031,15,41
06,Colima,001,Armería,0001,Ciudad de Armería,0081,032,17,50
06,Colima,001,Armería,0001,Ciudad de Armería,0081,033,14,34
06,Colima,001,Armería,0001,Ciudad de Armería,0081,034,3,6
06,Colima,001,Armería,0001,Ciudad de Armería,0081,035,5,13
06,Colima,001,Armería,0001,Ciudad de Armería,0081,036,12,36
06,Colima,001,Armería,0001,Ciudad de Armería,0081,037,12,38
06,Colima,001,Armería,0001,Ciudad de Armería,0081,038,20,40
06,Colima,001,Armería,0001,Ciudad de Armería,0081,039,1,4
06,Colima,001,Armería,0001,Ciudad de Armería,0081,040,8,20
06,Colima,001,Armería,0001,Ciudad de Armería,0081,041,15,46
06,Colima,001,Armería,0001,Ciudad de Armería,0081,042,29,75
