CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,area
"0600100010081","06","001","0001","0081",0.28
060010001019A,"06","001","0001",019A,0.15
"0600100010359","06","001","0001","0359",0.05
"0600100010151","06","001","0001","0151",0.42
"0600100010166","06","001","0001","0166",0.41
"0600100010202","06","001","0001","0202",0.18
"0600100010217","06","001","0001","0217",0.25
"0600100010255","06","001","0001","0255",0.75
060010001026A,"06","001","0001",026A,0.67
"0600100010344","06","001","0001","0344",0.03
"0600100010274","06","001","0001","0274",0.22
"0600100010363","06","001","0001","0363",0.01
"0600100010378","06","001","0001","0378",0.41
"0600100010382","06","001","0001","0382",0.15
"0600100070240","06","001","0007","0240",0.52
060010035033A,"06","001","0035",033A,0.37
"0600100010397","06","001","0001","0397",0.24
060010001040A,"06","001","0001",040A,0.01
"0600100010109","06","001","0001","0109",0.37
"0600100010147","06","001","0001","0147",0.21
"0600100070236","06","001","0007","0236",0.29
"0600100070221","06","001","0007","0221",0.33
"0600100350325","06","001","0035","0325",0.48
060020001134A,"06","002","0001",134A,0.04
"0600200011640","06","002","0001","1640",0.16
"0600200011316","06","002","0001","1316",0.90
"0600200011320","06","002","0001","1320",1.11
"0600200011373","06","002","0001","1373",0.22
060020001159A,"06","002","0001",159A,0.54
"0600200011617","06","002","0001","1617",0.29
"0600200011621","06","002","0001","1621",0.18
"0600200010676","06","002","0001","0676",0.38
"0600200010727","06","002","0001","0727",0.66
"0600200011000","06","002","0001","1000",0.11
"0600200010977","06","002","0001","0977",0.21
"0600200011091","06","002","0001","1091",0.35
"0600200011142","06","002","0001","1142",0.42
"0600200011195","06","002","0001","1195",0.12
"0600200011208","06","002","0001","1208",0.13
"0600200011388","06","002","0001","1388",0.42
"0600200010411","06","002","0001","0411",0.43
"0600200010464","06","002","0001","0464",1.21
"0600200011496","06","002","0001","1496",0.04
"0600200010479","06","002","0001","0479",0.79
"0600200010483","06","002","0001","0483",1.82
"0600200011481","06","002","0001","1481",0.38
"0600200010996","06","002","0001","0996",0.13
"0600200010568","06","002","0001","0568",0.18
"0600200010619","06","002","0001","0619",0.62
"0600200011693","06","002","0001","1693",0.05
"0600200011104","06","002","0001","1104",0.13
"0600200011068","06","002","0001","1068",0.72
"0600200011706","06","002","0001","1706",0.39
"0600200011689","06","002","0001","1689",0.14
"0600200010708","06","002","0001","0708",0.32
"0600200011458","06","002","0001","1458",0.21
"0600200011570","06","002","0001","1570",0.23
"0600200011585","06","002","0001","1585",0.05
"0600200010290","06","002","0001","0290",0.64
"0600200010318","06","002","0001","0318",0.34
"0600200010337","06","002","0001","0337",0.37
"0600200010407","06","002","0001","0407",0.26
060020001052A,"06","002","0001",052A,0.17
"0600200010680","06","002","0001","0680",0.32
"0600200010712","06","002","0001","0712",0.42
"0600200010746","06","002","0001","0746",0.44
"0600200010750","06","002","0001","0750",0.54
"0600200010765","06","002","0001","0765",0.43
"0600200010816","06","002","0001","0816",0.25
"0600200011087","06","002","0001","1087",0.14
"0600200011123","06","002","0001","1123",0.24
"0600200011157","06","002","0001","1157",0.22
"0600200011227","06","002","0001","1227",0.48
"0600200011231","06","002","0001","1231",0.09
"0600200011250","06","002","0001","1250",0.18
"0600200011246","06","002","0001","1246",0.17
"0600200011265","06","002","0001","1265",0.39
060020001127A,"06","002","0001",127A,0.46
"0600200011284","06","002","0001","1284",0.12
"0600200011161","06","002","0001","1161",0.23
"0600200010549","06","002","0001","0549",0.23
"0600200010572","06","002","0001","0572",0.23
"0600200011551","06","002","0001","1551",0.02
"0600200010801","06","002","0001","0801",0.55
"0600200010820","06","002","0001","0820",0.30
"0600200010835","06","002","0001","0835",0.43
060020001084A,"06","002","0001",084A,0.35
"0600200010854","06","002","0001","0854",0.31
"0600200010869","06","002","0001","0869",0.15
"0600200010873","06","002","0001","0873",0.26
"0600200010888","06","002","0001","0888",0.46
"0600200010892","06","002","0001","0892",0.26
060020001091A,"06","002","0001",091A,0.71
"0600200010924","06","002","0001","0924",0.48
"0600200010943","06","002","0001","0943",0.56
"0600200010958","06","002","0001","0958",0.25
"0600200010962","06","002","0001","0962",0.39
"0600200011015","06","002","0001","1015",0.23
060020001102A,"06","002","0001",102A,0.25
"0600200011299","06","002","0001","1299",0.16
"0600200011354","06","002","0001","1354",0.24
"0600200011439","06","002","0001","1439",0.27
"0600200011462","06","002","0001","1462",0.34
"0600200010322","06","002","0001","0322",0.37
"0600200010021","06","002","0001","0021",0.88
"0600200010534","06","002","0001","0534",0.22
060020001077A,"06","002","0001",077A,0.46
"0600200010939","06","002","0001","0939",0.26
"0600200010981","06","002","0001","0981",0.13
"0600200011547","06","002","0001","1547",0.12
