Año,Fuente,Categoría,PM10,PM2.5,SO2,CO,NOX,COV,NH3
2005,AREA,Combustión industrial,"13,569.86","9,172.81","225,303.30","15,992.03","64,138.64","1,027.67",
2005,AREA,Combustión comercial,219.34,219.34,14.47,"1,378.03","6,920.16",134.41,
2005,AREA,Combustión agrícola,6.19,6.19,0.4,35.5,208.47,3.72,
2005,AREA,Combustión doméstica,"262,928.16","252,465.24","3,535.19","1,980,652.37","68,260.81","453,868.87",
2005,AREA,Artes gráficas,,,,,,"42,673.70",
2005,AREA,Asfaltado,,,,,,"10,744.83",
2005,AREA,Lavado en seco,,,,,,"18,783.88",
2005,AREA,Pintado automotriz,,,,,,"19,675.98",
2005,AREA,Pintura para señalización vial,,,,,,"2,924.85",
2005,AREA,Recubrimiento de superficies en la industria,,,,,,"59,975.78",
2005,AREA,Recubrimiento de superficies arquitectónicas,,,,,,"213,899.96",
2005,AREA,Uso comercial y doméstico de solventes,,,,,,"323,794.18",
2005,AREA,Limpieza de superficies industriales,,,,,,"166,633.44",
2005,AREA,Manejo y distribución de gas LP,,,,,,"282,813.76",
2005,AREA,Manejo y distribución de gasolina y diesel,,,,,,"58,530.57",
2005,AREA,Actividades de construcción,"23,060.86","4,793.20",,,,,
2005,AREA,Asados al carbón,"8,255.03","6,588.87",,"16,434.32",302.94,"1,060.28",
2005,AREA,Panificación,,,,,,"5,737.39",
2005,AREA,Aplicación de fertilizantes,,,,,,,"170,774.41"
2005,AREA,Aplicación de plaguicidas,,,,,,"18,415.49",
2005,AREA,Corrales de engorda,"5,870.66",670.43,,,,,
2005,AREA,Emisiones ganaderas de amoniaco,,,,,,,"507,551.90"
2005,AREA,Labranza,"149,558.61","33,157.14",,,,,
2005,AREA,Aguas residuales,,,,,,"97,056.15",
2005,AREA,Incendios en construcciones,14.52,13.56,,230.51,5.49,14.3,
2005,AREA,Incendios forestales,"35,198.98","29,864.03","3,380.12","345,795.03","10,882.05","24,151.75","3,734.57"
2005,AREA,Emisiones domésticas de amoniaco,,,,,,,"249,427.49"
2005,AREA,Esterilización de material hospitalario,,,,,,44.47,
2005,AREA,Cruces fronterizos,2.66,1.74,8.89,"6,014.52",122.89,759.98,5.86
