CATEGORIA,SUBCATEGORIA,CLAVE,ESTADO,CVE DE ESTADO,PM10,PM2.5,SO2,CO,NOX,COV,NH3
Fuentes industriales ligeras y comerciales,Actividades de construccion,FA0401,Aguascalientes,1,333.924735,69.40625618,0,0,0,0,0
Fuentes industriales ligeras y comerciales,Actividades de construccion,FA0401,Baja California,2,163.9015908,34.06694566,0,0,0,0,0
Fuentes industriales ligeras y comerciales,Actividades de construccion,FA0401,Baja California Sur,3,285.6196299,59.36604008,0,0,0,0,0
Fuentes industriales ligeras y comerciales,Actividades de construccion,FA0401,Campeche,4,112.3649558,23.35505607,0,0,0,0,0
Fuentes industriales ligeras y comerciales,Actividades de construccion,FA0401,Coahuila de Zaragoza,5,10.96243656,2.278542438,0,0,0,0,0
Fuentes industriales ligeras y comerciales,Actividades de construccion,FA0401,Colima,6,176.0346297,36.58879778,0,0,0,0,0
Fuentes industriales ligeras y comerciales,Actividades de construccion,FA0401,Chiapas,7,94.28459314,19.59705268,0,0,0,0,0
Fuentes industriales ligeras y comerciales,Actividades de construccion,FA0401,Chihuahua,8,11765.17252,2445.391108,0,0,0,0,0
Fuentes industriales ligeras y comerciales,Actividades de construccion,FA0401,Distrito Federal,9,1511.925384,314.2536911,0,0,0,0,0
Fuentes industriales ligeras y comerciales,Actividades de construccion,FA0401,Durango,10,79.3962278,16.50250595,0,0,0,0,0
Fuentes industriales ligeras y comerciales,Actividades de construccion,FA0401,Guanajuato,11,1459.002545,303.253679,0,0,0,0,0
Fuentes industriales ligeras y comerciales,Actividades de construccion,FA0401,Guerrero,12,129.8841362,26.9964177,0,0,0,0,0
Fuentes industriales ligeras y comerciales,Actividades de construccion,FA0401,Hidalgo,13,268.8359778,55.87755798,0,0,0,0,0
Fuentes industriales ligeras y comerciales,Actividades de construccion,FA0401,Jalisco,14,1722.344999,357.9894081,0,0,0,0,0
Fuentes industriales ligeras y comerciales,Actividades de construccion,FA0401,Mexico,15,629.6692757,130.8767589,0,0,0,0,0
Fuentes industriales ligeras y comerciales,Actividades de construccion,FA0401,Michoacan de Ocampo,16,187.2538505,38.92071282,0,0,0,0,0
Fuentes industriales ligeras y comerciales,Actividades de construccion,FA0401,Morelos,17,89.1109218,18.5217051,0,0,0,0,0
Fuentes industriales ligeras y comerciales,Actividades de construccion,FA0401,Nayarit,18,69.11807584,14.36619206,0,0,0,0,0
Fuentes industriales ligeras y comerciales,Actividades de construccion,FA0401,Nuevo Leon,19,968.8600334,201.3775579,0,0,0,0,0
Fuentes industriales ligeras y comerciales,Actividades de construccion,FA0401,Oaxaca,20,36.42880627,7.571727383,0,0,0,0,0
Fuentes industriales ligeras y comerciales,Actividades de construccion,FA0401,Puebla,21,249.5319976,51.8652257,0,0,0,0,0
Fuentes industriales ligeras y comerciales,Actividades de construccion,FA0401,Queretaro,22,11.66638839,2.424858826,0,0,0,0,0
Fuentes industriales ligeras y comerciales,Actividades de construccion,FA0401,Quintana Roo,23,352.0682828,73.17739258,0,0,0,0,0
Fuentes industriales ligeras y comerciales,Actividades de construccion,FA0401,San Luis Potosi,24,342.1981622,71.12588802,0,0,0,0,0
Fuentes industriales ligeras y comerciales,Actividades de construccion,FA0401,Sinaloa,25,209.5219932,43.54914628,0,0,0,0,0
Fuentes industriales ligeras y comerciales,Actividades de construccion,FA0401,Sonora,26,0,0,0,0,0,0,0
Fuentes industriales ligeras y comerciales,Actividades de construccion,FA0401,Tabasco,27,190.8715197,39.67264538,0,0,0,0,0
Fuentes industriales ligeras y comerciales,Actividades de construccion,FA0401,Tamaulipas,28,138.7270895,28.83442554,0,0,0,0,0
Fuentes industriales ligeras y comerciales,Actividades de construccion,FA0401,Tlaxcala,29,35.20605985,7.31757954,0,0,0,0,0
Fuentes industriales ligeras y comerciales,Actividades de construccion,FA0401,Veracruz de Ignacio de la Llave,30,369.9858466,76.90155821,0,0,0,0,0
Fuentes industriales ligeras y comerciales,Actividades de construccion,FA0401,Yucatan,31,189.7954398,39.44898215,0,0,0,0,0
Fuentes industriales ligeras y comerciales,Actividades de construccion,FA0401,Zacatecas,32,124.0494776,25.78368392,0,0,0,0,0
Manejo de residuos,Aguas residuales,FA0601,Aguascalientes,1,0,0,0,0,0,1611.871186,0
Manejo de residuos,Aguas residuales,FA0601,Baja California,2,0,0,0,0,0,3661.498002,0
Manejo de residuos,Aguas residuales,FA0601,Baja California Sur,3,0,0,0,0,0,1147.959596,0
Manejo de residuos,Aguas residuales,FA0601,Campeche,4,0,0,0,0,0,1195.69627,0
Manejo de residuos,Aguas residuales,FA0601,Coahuila de Zaragoza,5,0,0,0,0,0,4573.45542,0
Manejo de residuos,Aguas residuales,FA0601,Colima,6,0,0,0,0,0,1517.565477,0
Manejo de residuos,Aguas residuales,FA0601,Chiapas,7,0,0,0,0,0,2156.43168,0
Manejo de residuos,Aguas residuales,FA0601,Chihuahua,8,0,0,0,0,0,5418.494494,0
Manejo de residuos,Aguas residuales,FA0601,Distrito Federal,9,0,0,0,0,0,870.4984,0
Manejo de residuos,Aguas residuales,FA0601,Durango,10,0,0,0,0,0,3110.984772,0
Manejo de residuos,Aguas residuales,FA0601,Guanajuato,11,0,0,0,0,0,5612.051952,0
Manejo de residuos,Aguas residuales,FA0601,Guerrero,12,0,0,0,0,0,3122.865645,0
Manejo de residuos,Aguas residuales,FA0601,Hidalgo,13,0,0,0,0,0,1764.494073,0
Manejo de residuos,Aguas residuales,FA0601,Jalisco,14,0,0,0,0,0,9080.248674,0
Manejo de residuos,Aguas residuales,FA0601,Mexico,15,0,0,0,0,0,15344.2823,0
Manejo de residuos,Aguas residuales,FA0601,Michoacan de Ocampo,16,0,0,0,0,0,6018.727909,0
Manejo de residuos,Aguas residuales,FA0601,Morelos,17,0,0,0,0,0,4075.573882,0
Manejo de residuos,Aguas residuales,FA0601,Nayarit,18,0,0,0,0,0,1280.448955,0
Manejo de residuos,Aguas residuales,FA0601,Nuevo Leon,19,0,0,0,0,0,7770.158148,0
Manejo de residuos,Aguas residuales,FA0601,Oaxaca,20,0,0,0,0,0,2005.973424,0
Manejo de residuos,Aguas residuales,FA0601,Puebla,21,0,0,0,0,0,4025.045326,0
Manejo de residuos,Aguas residuales,FA0601,Queretaro,22,0,0,0,0,0,2070.014525,0
Manejo de residuos,Aguas residuales,FA0601,Quintana Roo,23,0,0,0,0,0,1762.520872,0
Manejo de residuos,Aguas residuales,FA0601,San Luis Potosi,24,0,0,0,0,0,2237.91692,0
Manejo de residuos,Aguas residuales,FA0601,Sinaloa,25,0,0,0,0,0,4155.181468,0
Manejo de residuos,Aguas residuales,FA0601,Sonora,26,0,0,0,0,0,5311.504411,0
Manejo de residuos,Aguas residuales,FA0601,Tabasco,27,0,0,0,0,0,4272.276528,0
Manejo de residuos,Aguas residuales,FA0601,Tamaulipas,28,0,0,0,0,0,5003.309637,0
Manejo de residuos,Aguas residuales,FA0601,Tlaxcala,29,0,0,0,0,0,1002.487736,0
Manejo de residuos,Aguas residuales,FA0601,Veracruz de Ignacio de la Llave,30,0,0,0,0,0,9520.524985,0
Manejo de residuos,Aguas residuales,FA0601,Yucatan,31,0,0,0,0,0,2703.017416,0
Manejo de residuos,Aguas residuales,FA0601,Zacatecas,32,0,0,0,0,0,2603.190208,0
Agropecuario,Aplicacion de Fertilizantes,FA0501,Aguascalientes,1,0,0,0,0,0,0,811.3353509
Agropecuario,Aplicacion de Fertilizantes,FA0501,Baja California,2,0,0,0,0,0,0,1203.649036
Agropecuario,Aplicacion de Fertilizantes,FA0501,Baja California Sur,3,0,0,0,0,0,0,236.5677365
Agropecuario,Aplicacion de Fertilizantes,FA0501,Campeche,4,0,0,0,0,0,0,1593.611904
Agropecuario,Aplicacion de Fertilizantes,FA0501,Coahuila de Zaragoza,5,0,0,0,0,0,0,1254.785158
Agropecuario,Aplicacion de Fertilizantes,FA0501,Colima,6,0,0,0,0,0,0,2011.913119
Agropecuario,Aplicacion de Fertilizantes,FA0501,Chiapas,7,0,0,0,0,0,0,22486.5501
Agropecuario,Aplicacion de Fertilizantes,FA0501,Chihuahua,8,0,0,0,0,0,0,9871.382309
Agropecuario,Aplicacion de Fertilizantes,FA0501,Distrito Federal,9,0,0,0,0,0,0,169.5975052
Agropecuario,Aplicacion de Fertilizantes,FA0501,Durango,10,0,0,0,0,0,0,5606.601342
Agropecuario,Aplicacion de Fertilizantes,FA0501,Guanajuato,11,0,0,0,0,0,0,5477.60376
Agropecuario,Aplicacion de Fertilizantes,FA0501,Guerrero,12,0,0,0,0,0,0,6736.754332
Agropecuario,Aplicacion de Fertilizantes,FA0501,Hidalgo,13,0,0,0,0,0,0,4647.405547
Agropecuario,Aplicacion de Fertilizantes,FA0501,Jalisco,14,0,0,0,0,0,0,7032.002273
Agropecuario,Aplicacion de Fertilizantes,FA0501,Mexico,15,0,0,0,0,0,0,5026.909595
Agropecuario,Aplicacion de Fertilizantes,FA0501,Michoacan de Ocampo,16,0,0,0,0,0,0,7648.211062
Agropecuario,Aplicacion de Fertilizantes,FA0501,Morelos,17,0,0,0,0,0,0,831.2954241
Agropecuario,Aplicacion de Fertilizantes,FA0501,Nayarit,18,0,0,0,0,0,0,3005.838454
Agropecuario,Aplicacion de Fertilizantes,FA0501,Nuevo Leon,19,0,0,0,0,0,0,1268.910595
Agropecuario,Aplicacion de Fertilizantes,FA0501,Oaxaca,20,0,0,0,0,0,0,15130.73749
Agropecuario,Aplicacion de Fertilizantes,FA0501,Puebla,21,0,0,0,0,0,0,9446.480561
Agropecuario,Aplicacion de Fertilizantes,FA0501,Queretaro,22,0,0,0,0,0,0,895.1615306
Agropecuario,Aplicacion de Fertilizantes,FA0501,Quintana Roo,23,0,0,0,0,0,0,1023.932939
Agropecuario,Aplicacion de Fertilizantes,FA0501,San Luis Potosi,24,0,0,0,0,0,0,5571.366643
Agropecuario,Aplicacion de Fertilizantes,FA0501,Sinaloa,25,0,0,0,0,0,0,6212.867585
