SECTOR,CVE_ENT_1,ENTFED,PM10,PM2.5,SOX,CO,NOX,COV,NH3
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",1,Aguascalientes,1.21314438,0.863915266,0,0.1363,0.2394,7.014492281,0
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",2,Baja California,35.333211,32.30192689,0.441260899,462.3726797,30.9195879,1472.381028,0.0105
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",5,Coahuila de Zaragoza,5.700308928,4.488586768,0.081620471,11.27018225,13.45378,51.5969865,0.43119586
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",8,Chihuahua,67.04425163,56.24232207,0.807322857,43.5315598,124.4447704,746.9692529,0.696009962
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",9,Distrito Federal,20.28872545,18.76173749,0.183383915,7.890225676,18.58546201,166.9018442,0.21547604
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",10,Durango,12.61996611,4.379280705,0.0093,1.2924,1.5449,0.2822,0.0489
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",11,Guanajuato,2.794389346,2.794286858,0.227813849,19.80640464,72.30694409,1.514064238,1.471765269
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",13,Hidalgo,0.095576692,0.095576692,0.086064393,0.773052704,2.377466763,0.091144826,0.026276712
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",14,Jalisco,38.736614,19.7293388,0.899730995,3.611502,9.987208,11.27872116,0.204539303
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",15,México,379.8545442,270.9435482,0.250733525,16.17622443,24.873103,384.5055238,0.454364581
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",16,Michoacán de Ocampo,0.0012,0.0012,7.36E-07,0.0069,0.0405,0.0007,0
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",17,Morelos,0.9282,0.116025,0.867,2.8392,13.1914,11.514039,0
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",19,Nuevo León,157.257039,130.2511893,0.371588194,71.87686748,103.3135612,939.775066,1.832793589
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",21,Puebla,0.0339,0.0339,0.0027,0.3755,0.447,0.0245,0.0144
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",22,Querétaro,5.0312074,3.7315372,0.027742922,3.9106,4.6557,521.963163,0.149302518
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",24,San Luis Potosí,1.24577864,0.996755376,0.691171069,0.943288416,3.33193376,24.11204296,0.100812956
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",25,Sinaloa,0.000848514,0.00084318,0.00187835,0.002922095,0.015664591,0.00018423,0.000391864
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",26,Sonora,2.222967508,1.547155015,0.771902338,6.898434532,6.004543939,460.2109961,87.02012872
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",28,Tamaulipas,77.16797313,64.86707871,0.220222092,3.489118584,6.742474686,114.3807829,0.130433473
Alimentos y bebidas,1,Aguascalientes,16.21486573,9.915810605,472.6970663,23.6469,65.32122648,1.5272,1.5802
Alimentos y bebidas,2,Baja California,31.64400643,14.74966459,907.2916164,172.0276477,183.2078225,0.949155563,1.798010467
Alimentos y bebidas,3,Baja California Sur,7.486667,2.104062,6.044302592,5.345,21.4258,0.2152,0.8518
Alimentos y bebidas,4,Campeche,1028.817238,587.4083186,50.83587704,0.441944212,104.7689261,0.066904866,0.064759074
Alimentos y bebidas,5,Coahuila de Zaragoza,238.5111055,72.41412751,230.8211323,34.64498034,69.77929088,2.885745998,1.559322134
Alimentos y bebidas,6,Colima,2199.083513,1255.134734,836.0099,47.8852,324.2577515,2.052576,2.217
Alimentos y bebidas,7,Chiapas,4746.614402,2687.748171,340.3843719,42.87496134,532.7108728,81.698123,35.58873676
Alimentos y bebidas,8,Chihuahua,1.659444796,0.986048815,11.5141809,62.701836,6.25278192,70.5770148,0.000343562
Alimentos y bebidas,9,Distrito Federal,154.6592516,76.75495621,8.708091694,235.1577002,228.9788185,1927.256603,59.38799032
Alimentos y bebidas,10,Durango,15.66760927,7.7825603,0.811838766,99.54889822,87.24458805,3.35277435,2.022935338
Alimentos y bebidas,11,Guanajuato,143.0483292,127.2911682,2254.054737,135.8261716,574.7351309,10.79235123,11.83624704
Alimentos y bebidas,12,Guerrero,0.3517,0.1912,1.215982553,1.8408,8.822,0.1208,0.1714
Alimentos y bebidas,13,Hidalgo,16.2958859,11.18758629,298.5262,28.21576728,68.95508882,2.136514276,1.833416178
Alimentos y bebidas,14,Jalisco,11965.40971,6814.401911,7603.8027,261.4487594,2280.412604,47.98118553,19.12982138
Alimentos y bebidas,15,México,369.0032451,183.7871683,56.31762118,1143.823072,1509.91837,165.6536876,38.06094273
Alimentos y bebidas,16,Michoacán de Ocampo,2514.726326,1426.661577,1568.94205,16.5624,391.6258262,2.001965872,2.577
Alimentos y bebidas,17,Morelos,906.0001573,517.6172615,163.8568456,208.7551941,218.1940169,0.251759931,0.360293163
Alimentos y bebidas,18,Nayarit,3601.439983,2041.973899,132.4189199,19.69997505,405.8611208,1.647288404,2.071376008
Alimentos y bebidas,19,Nuevo León,69.07919401,27.89436801,231.0634,105.5346,168.1622,8.420474,3.9285
Alimentos y bebidas,20,Oaxaca,5737.760071,3284.425922,5090.606751,42.90520827,958.8021737,6.489896915,6.861321323
Alimentos y bebidas,21,Puebla,3145.028399,1808.572604,2250.531635,52.28531231,548.5424342,4.391968576,4.373494294
Alimentos y bebidas,22,Querétaro,18.978864,8.988804,309.0671652,42.8764,91.0465,5.3053,1.8178
Alimentos y bebidas,23,Quintana Roo,2956.203869,1687.181673,8.1744,0.8418,292.1511629,0.0346,0.1348
Alimentos y bebidas,24,San Luis Potosí,8600.975352,4912.177101,578.8978747,24.30818609,917.7311739,25.91900283,1.598703242
Alimentos y bebidas,25,Sinaloa,2242.389367,1295.094523,5906.334286,57.05971193,759.4289376,15.98797759,8.877661908
Alimentos y bebidas,26,Sonora,873.4162376,318.0773948,4468.616838,43.49428106,432.3565627,5.586164142,6.456968002
Alimentos y bebidas,27,Tabasco,7802.115397,4454.071598,228.5263635,639.256772,829.2247328,189.3283411,1.084522168
Alimentos y bebidas,29,Tlaxcala,43.912567,12.734977,954.1967678,4.95849,133.6930644,0.00502,0
