SECTOR,CVE_ENT_1,ENTFED,CVE_MUN_1,MPIO,PM10,PM2.5,SO2,CO,NOX,COV,NH3
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",1,Aguascalientes,1,Aguascalientes,1.21314438,0.863915266,0,0.1363,0.2394,7.014492281,0
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",2,Baja California,1,Ensenada,14.980218,14.433857,0,0.7778,0.01839,159.030789,0
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",2,Baja California,2,Mexicali,0.999473,0.9636629,0.43429,440.1838397,26.9392179,339.2650982,0
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",2,Baja California,3,Tecate,0.213723,0.2075712,0,0,0,12.6072,0
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",2,Baja California,4,Tijuana,19.083837,16.67096117,0.006969688,21.39974,3.89538,938.511841,0.0105
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",2,Baja California,5,Playas de Rosarito,0.05596,0.02587462,1.21E-06,0.0113,0.0666,22.9661,0
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",5,Coahuila de Zaragoza,2,Acuña,0.3084,0.3027,0.0229,3.1943,3.8027,47.7091,0.1221
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",5,Coahuila de Zaragoza,25,Piedras Negras,0.81523424,0.58763208,0.003519678,0.3699,0.44288,1.832658,0.01439586
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",5,Coahuila de Zaragoza,27,Ramos Arizpe,0,0,0,0,0,1.27332,0
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",5,Coahuila de Zaragoza,30,Saltillo,4.560874688,3.585954688,0.055200009,7.698682253,9.1651,0.5039085,0.2947
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",5,Coahuila de Zaragoza,35,Torreón,0.0158,0.0123,7.84E-07,0.0073,0.0431,0.278,0
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",8,Chihuahua,5,Ascensión,0,0,0,0.2237556,0,0,0
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",8,Chihuahua,10,Buenaventura,0.0195,0.0172,1.01E-07,0.007782708,0.0055,28.42869258,0
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",8,Chihuahua,11,Camargo,0,0,0.00168,2.5096992,0,0,0
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",8,Chihuahua,17,Cuauhtémoc,0.18101664,0.12835152,0.041484,1.79376,0.090648,0,0
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",8,Chihuahua,19,Chihuahua,16.03881133,11.3778039,0.4423672,14.84361276,80.8149268,153.5664868,0.0037
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",8,Chihuahua,21,Delicias,0,0,0,1.777698,0,2.69928,0
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",8,Chihuahua,32,Hidalgo del Parral,0.037047806,0.033705535,0.000696,0.062604,0.04054992,35.754888,0
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",8,Chihuahua,36,Jiménez,0,0,0,0.0636,0.31116,0,0
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",8,Chihuahua,37,Juárez,50.6338638,44.57745237,0.133469513,21.86366713,40.97961068,377.5434155,0.692309962
