Zona metropolitana,  PM10,  PM2.5,  SO2,  CO,  NOX,  COV,  NH3
Acapulco,1932.401769,1096.709433,341.286662,63751.12556,14434.78438,61901.10597,1909.107646
Acayucan,489.0559169,373.9162948,46.68332965,6191.637345,3471.204906,12521.72313,1208.625167
Aguascalientes,6196.181662,3514.945635,1108.241031,63645.28715,14814.83312,27294.16844,19067.58388
Campeche,2370.868581,1514.321871,107849.6716,26859.42621,10236.08215,10518.21934,2509.05838
Cancún,1143.435735,919.5157512,546.8982374,61265.18135,14993.82615,31895.60242,921.8981683
Celaya,4467.545673,2613.236744,824.0808938,37985.31859,12467.82246,28848.01486,5608.720239
Chetumal,3674.537443,2210.801061,210.7185486,25658.74887,5110.305503,14488.81714,866.5575752
Chihuahua,5128.44391,3259.806269,2888.303684,95336.00815,28916.12906,21986.25253,1897.78297
Chilpancingo,1076.134668,830.56077,143.6654363,27925.20192,5711.650121,50934.76006,842.0358352
Ciudad Victoria,632.4113695,424.6096674,995.742732,21063.03087,5017.657189,7057.583155,693.2724107
Coatzacoalcos,1795.321637,1331.303024,1017.927142,22701.82783,14717.0652,18602.71672,929.6724058
Colima-Villa de Álvarez,4653.797841,2988.337781,1120.772045,37242.77243,11421.76779,46374.40261,3197.073485
Córdoba,1951.163956,1341.314454,786.0040182,15448.1619,9331.535787,26524.32114,6091.33977
Cuautla,2558.538649,1678.568644,148.4558041,26281.94037,12008.46762,37057.89242,2585.222548
Cuernavaca,2001.773705,1409.460745,734.3643504,70325.34355,22331.64164,50509.49856,2755.587946
Culiacán,7325.109894,4783.162869,1980.324414,81859.25829,18621.75066,69246.83129,9444.540051
Delicias,1900.740456,1170.953642,6225.608619,16312.2492,5987.749428,11364.79236,719.6501539
Durango,5142.969283,4159.10365,411.3413855,46526.28079,12442.25515,28056.69093,1654.243194
Ensenada,2050.113752,1371.634682,492.3326826,29961.41697,6930.164231,9150.452132,1365.501593
Guadalajara,10783.22623,7213.190128,3875.51508,219268.2481,61568.8452,112492.0054,10459.7335
Guanajuato,1258.312805,1094.512074,147.9551986,9591.315971,2809.078783,3186.86787,442.4922905
Guaymas,1421.6352,930.9664934,13499.96256,9356.872194,4635.834712,7453.670038,1325.759714
Hermosillo,3641.247565,2479.593089,3112.999764,51561.31423,15922.15913,16729.17308,9172.316812
Hidalgo del Parral,389.2620409,269.047785,61.30305192,11160.05277,2333.24998,2802.097659,504.0657847
Juárez,3934.095961,3078.373421,4607.710474,89434.40119,31146.39463,28923.39785,1513.715885
La Laguna,10205.21136,8248.730894,16382.46131,82293.16575,25895.00954,56620.09649,20200.53973
La Paz,1942.823715,1143.495926,23200.17827,40521.90173,21450.24796,8072.971663,607.97042
La Piedad-Pénjamo,2026.67571,1333.55791,261.4720061,21206.84528,5426.727994,13316.72888,4108.542999
León,6066.403051,4678.072428,802.8256269,76086.80396,22279.59321,35960.0051,2952.035938
Matamoros,4409.944377,2407.679939,223.4654705,30065.82034,8038.700765,16187.9844,1377.47315
Mazatlán,1166.647856,784.7823972,46396.30944,30935.3795,9989.346668,30715.08095,1290.541409
Mérida,3536.774608,2384.119358,14054.96628,99010.54501,21053.12584,50723.90237,9070.410193
Mexicali,7142.714595,4297.598647,413.2058762,70436.65375,18416.60553,26174.57178,5859.718225
Minatitlán,2119.681998,1678.114756,90018.46459,34190.99356,11784.45442,28221.52369,3618.858792
Monclova-Frontera,18595.30358,13634.83061,6845.326496,31405.6891,38670.04784,12365.12416,1067.459246
Monterrey,14113.14906,9506.574115,16602.61043,226496.1754,99108.89149,94915.2498,11366.67246
Morelia,2601.027183,1940.119379,1216.107776,103523.7055,19999.0391,26018.02601,3238.090823
Moroleón-Uriangato,716.9316293,212.6114887,57.10515333,10668.17262,2492.547792,9973.734538,1022.673856
N/A,583980.3714,395720.3664,460970.9081,4072401.541,1688243.679,9552318.113,572900.0886
Nogales,944.6797497,785.1487907,149.443908,18371.51214,4145.145661,5688.691309,362.3358691
Nuevo Laredo,763.7841471,609.4909268,153.8934883,18896.91546,5640.235113,7103.823876,512.5804896
Oaxaca,1538.746554,1280.632643,308.8189478,36211.456,10766.59418,13195.45466,1547.883612
Ocotlán,1601.746074,1079.961005,236.9504794,13815.38064,5217.416032,15526.92033,1149.903641
Orizaba,2599.751205,2032.14906,2944.744154,26346.293,11396.28264,55696.14383,3381.301558
Pachuca,5927.54965,1203.537967,291.8359366,33697.74698,13305.42584,19253.82139,2564.758855
Piedras Negras,4322.358433,1281.038337,135501.5024,15036.87798,27072.94413,6898.202409,409.0079087
Poza Rica,1968.676599,1519.192029,3577.388225,25200.80961,13946.84233,31091.01654,2312.333989
Puebla-Tlaxcala,19012.725,16202.97077,6962.975929,151303.0981,55868.11004,85633.20725,8729.835701
Puerto Vallarta,2523.839382,564.3289553,59.75157157,20172.60247,4866.406022,23295.94093,687.2060306
Querétaro,6200.478526,4497.89916,820.3296941,78081.88396,29497.005,42974.75857,11852.26491
Reynosa,7576.692687,4473.514437,72252.66942,75214.18093,21230.8101,29714.34085,2760.950512
Rioverde,2060.320339,1732.41272,192.6308776,11681.58708,3609.311597,5699.261212,643.3618065
Saltillo,4401.572865,3446.595963,2362.412169,38548.33815,16369.18063,19170.16626,2004.080051
San Francisco del Rincón,1044.570428,735.1321382,83.78767171,9108.114966,3309.119109,10856.47375,1100.061922
San Luis Potosí,4899.461973,3759.513536,5366.989303,79619.92042,23261.86168,25902.69344,9361.032593
Tampico,9997.762751,7156.04712,48987.08601,139344.4001,32955.16572,33142.97362,2405.443553
Tapachula,612.4944461,418.3362854,236.606247,19447.67252,6652.921329,14139.06621,1350.054648
