Estado,CVE Estado,Categoría,Subcategoría,  PM10,  PM2.5,  SO2,  CO,  NOX,  COV,  NH3
Aguascalientes,01,Agropecuarias,Aplicación de fertilizantes,0,0,0,0,0,0,765.6068894
Aguascalientes,01,Agropecuarias,Aplicación de plaguicidas,0,0,0,0,0,156.7996012,0
Aguascalientes,01,Agropecuarias,Corrales de engorda,154.2505488,17.61541267,0,0,0,0,0
Aguascalientes,01,Agropecuarias,Emisiones ganaderas de amoniaco,0,0,0,0,0,0,41176.68699
Aguascalientes,01,Agropecuarias,Labranza,944.0890967,209.3045527,0,0,0,0,0
Aguascalientes,01,Agropecuarias,Quemas agrícolas,2776.367921,2670.332158,88.54269198,17353.25546,795.2136048,1962.452827,346.837824
Aguascalientes,01,Almacenamiento y transporte de derivados de petróleo,Manejo y distribución de combustibles,0,0,0,0,0,996.2744634,0
Aguascalientes,01,Almacenamiento y transporte de derivados de petróleo,Manejo y distribución de gas L.P.,0,0,0,0,0,4708.064787,0
Aguascalientes,01,Fuentes industriales ligeras y comerciales,Actividades de construcción,2212.072348,221.2072348,0,0,0,0,0
Aguascalientes,01,Fuentes industriales ligeras y comerciales,Asados al carbón,104.3142602,83.25321104,0,207.6760574,3.822899091,13.39971797,0
Aguascalientes,01,Fuentes industriales ligeras y comerciales,Panificación,0,0,0,0,0,45.39934297,0
Aguascalientes,01,Fuentes misceláneas,Caminos pavimentados y no pavimentados,287.1028725,65.59756267,0,0,0,0,0
Aguascalientes,01,Fuentes misceláneas,Emisiones domésticas de amoniaco,0,0,0,0,0,0,1366.323681
Aguascalientes,01,Fuentes misceláneas,Esterilización de material hospitalario,0,0,0,0,0,0.6875,0
Aguascalientes,01,Fuentes misceláneas,Incendios en construcción,0.037284714,0.034817861,0,0.5920446,0.0140963,0.036720862,0
Aguascalientes,01,Fuentes misceláneas,Incendios forestales,415.8892159,352.9257838,38.11904056,4128.840781,122.6435461,288.290185,41.42021674
Aguascalientes,01,Fuentes misceláneas,Ladrilleras,1183.852707,1080.308316,97.84009967,233.6479992,54.03109982,26.28539991,0
Aguascalientes,01,Manejo de Residuos,Aguas residuales,0,0,0,0,0,1265.356266,0
Aguascalientes,01,Manejo de Residuos,Quema de residuos a cielo abierto,0,0,0,0,0,0,0
Aguascalientes,01,Manejo de Residuos,Rellenos sanitarios,0,0,0,2.426379233,0,128.6573346,0
Aguascalientes,01,Quema de combustibles en fuentes estacionarias,Combustión agrícola,1.059005437,1.059003505,0.037593269,8.676011785,15.2361181,0.532191385,0.000209892
Aguascalientes,01,Quema de combustibles en fuentes estacionarias,Combustión comercial,4.609412078,4.609412078,0.167992714,38.04270159,66.16508018,2.337508532,0.006475237
Aguascalientes,01,Quema de combustibles en fuentes estacionarias,Combustión doméstica,119.3306918,115.3979142,3.537584684,1348.909371,232.0514017,279.2720705,0.072897599
Aguascalientes,01,Quema de combustibles en fuentes estacionarias,Combustión industrial,0.123021542,0.09295688,0.005097428,0.881430156,1.991452848,0.04983449,0.031647013
Aguascalientes,01,Uso de Solventes,Artes gráficas,0,0,0,0,0,646.4947264,0
Aguascalientes,01,Uso de Solventes,Asfaltado,0,0,0,0,0,41.1395038,0
Aguascalientes,01,Uso de Solventes,Lavado en seco,0,0,0,0,0,150.6508615,0
Aguascalientes,01,Uso de Solventes,Limpieza de superficies industriales,0,0,0,0,0,2525.38462,0
Aguascalientes,01,Uso de Solventes,Pintado Automotriz,0,0,0,0,0,297.1043431,0
Aguascalientes,01,Uso de Solventes,Pintura para señalización vial,0,0,0,0,0,35.85919392,0
Aguascalientes,01,Uso de Solventes,Recubrimiento de superficies arquitectónicas,0,0,0,0,0,613.9974331,0
Aguascalientes,01,Uso de Solventes,Recubrimiento de superficies en la industria,0,0,0,0,0,458.4994289,0
Aguascalientes,01,Uso de Solventes,Uso doméstico de solventes,0,0,0,0,0,2708.050817,0
Baja California,02,Agropecuarias,Aplicación de fertilizantes,0,0,0,0,0,0,1306.500139
Baja California,02,Agropecuarias,Aplicación de plaguicidas,0,0,0,0,0,107.3890381,0
Baja California,02,Agropecuarias,Corrales de engorda,324.1428,37.01710776,0,0,0,0,0
Baja California,02,Agropecuarias,Emisiones ganaderas de amoniaco,0,0,0,0,0,0,3695.044358
Baja California,02,Agropecuarias,Labranza,2786.565231,617.7815117,0,0,0,0,0
Baja California,02,Agropecuarias,Quemas agrícolas,2126.080794,2026.5878,104.9630834,18876.9323,690.5658562,1639.564373,377.7502022
Baja California,02,Almacenamiento y transporte de derivados de petróleo,Manejo y distribución de combustibles,0,0,0,0,0,3474.599432,0
Baja California,02,Almacenamiento y transporte de derivados de petróleo,Manejo y distribución de gas L.P.,0,0,0,0,0,13408.99242,0
Baja California,02,Fuentes industriales ligeras y comerciales,Actividades de construcción,488.8793385,48.88793385,0,0,0,0,0
Baja California,02,Fuentes industriales ligeras y comerciales,Asados al carbón,282.5983222,225.541721,0,562.6163221,10.35663645,36.3012479,0
Baja California,02,Fuentes industriales ligeras y comerciales,Panificación,0,0,0,0,0,104.760602,0
Baja California,02,Fuentes misceláneas,Caminos pavimentados y no pavimentados,1054.762182,246.6442875,0,0,0,0,0
Baja California,02,Fuentes misceláneas,Emisiones domésticas de amoniaco,0,0,0,0,0,0,3808.823205
Baja California,02,Fuentes misceláneas,Esterilización de material hospitalario,0,0,0,0,0,0.67996,0
Baja California,02,Fuentes misceláneas,Incendios en construcción,4.709805009,4.398192202,0,74.78707387,1.780644616,4.638579225,0
Baja California,02,Fuentes misceláneas,Incendios forestales,576.739665,489.4185286,52.84295295,5726.110197,170.0336507,399.8190922,57.44410783
Baja California,02,Fuentes misceláneas,Ladrilleras,247.9023085,226.2198025,20.4880104,48.926592,11.3142744,5.5042416,0
Baja California,02,Manejo de Residuos,Aguas residuales,0,0,0,0,0,4311.435049,0
Baja California,02,Manejo de Residuos,Quema de residuos a cielo abierto,2.407266975,2.204549756,0.063349131,5.384676129,0.380094786,0.542015164,0
Baja California,02,Manejo de Residuos,Rellenos sanitarios,0,0,0,5.526895107,0,293.0603689,0
Baja California,02,Quema de combustibles en fuentes estacionarias,Combustión agrícola,0.803064555,0.803063472,0.028507765,6.578835877,11.55254889,0.403519633,0.000117702
Baja California,02,Quema de combustibles en fuentes estacionarias,Combustión comercial,13.72689918,13.72689918,0.498633765,113.1829947,197.0870927,6.95272279,0.016833283
Baja California,02,Quema de combustibles en fuentes estacionarias,Combustión doméstica,191.1279828,185.1662852,5.730691541,2129.405334,500.8667228,428.556352,0.176455536
Baja California,02,Quema de combustibles en fuentes estacionarias,Combustión industrial,12.83405493,3.282010874,0.687622782,65.01770425,255.1888255,2.647092624,10.05478322
Baja California,02,Uso de Solventes,Artes gráficas,0,0,0,0,0,1228.768122,0
Baja California,02,Uso de Solventes,Asfaltado,0,0,0,0,0,147.1260673,0
Baja California,02,Uso de Solventes,Lavado en seco,0,0,0,0,0,304.0989538,0
Baja California,02,Uso de Solventes,Limpieza de superficies industriales,0,0,0,0,0,10110.53775,0
Baja California,02,Uso de Solventes,Pintado Automotriz,0,0,0,0,0,827.5539113,0
Baja California,02,Uso de Solventes,Pintura para señalización vial,0,0,0,0,0,128.2422414,0
Baja California,02,Uso de Solventes,Recubrimiento de superficies arquitectónicas,0,0,0,0,0,1877.928356,0
Baja California,02,Uso de Solventes,Recubrimiento de superficies en la industria,0,0,0,0,0,826.2948708,0
