Fuente de emisión,Categoría,  PM10,  PM2.5,  SO2,  CO,  NOX,  COV,  NH3
Fuentes fijas,"Accesorios, aparatos eléctricos y equipos de generación eléctrica",465.7371189,350.4450793,9.634406329,10568.65988,536.4112713,3456.973001,4.663223051
Fuentes fijas,Alimentos y bebidas,79010.14049,44940.31323,31764.69075,21838.66571,17815.09276,1055.613512,148.1217148
Fuentes fijas,Almacenamiento de combustibles,3.12257104,2.11419518,61.0759593,1.11665,8.51198,1.167877,0.172987935
Fuentes fijas,Asbesto ,1.412136854,1.098608362,0.0263,3.6975,6.9518,0.2423,0.1414
Fuentes fijas,Automotriz ,1778.694657,1374.881303,83.94060549,1185.28117,1827.519908,21802.37099,37.95507185
Fuentes fijas,Celulosa y papel ,1478.613911,1236.434346,7630.586283,1805.37657,4210.000003,5515.069061,66.4308
Fuentes fijas,Cemento y cal ,5365.571312,3184.68813,33987.02616,15162.58129,51006.34782,175.4083,29.6569
Fuentes fijas,"Cuero, piel y materiales sucedáneos",38.80079088,27.38504852,13.5071765,95.86309963,50.89905461,425.1733055,0.489131019
Fuentes fijas,Derivados del petróleo y carbón,127.0242166,105.8231976,139.6243667,460.0260029,170.331072,174.6097906,3.120834619
Fuentes fijas,Extracción/Beneficio minerales no metálicos,3876.96271,2195.565549,1532.853031,164.0522604,1075.503941,93.63721639,2.524216328
Fuentes fijas,Generación de energía eléctrica ,52398.58157,39944.45784,683849.8944,60968.0023,205787.2544,3028.5579,987.6998
Fuentes fijas,Impresión,37.06805148,29.27286492,1.103192661,66.24398135,53.88943543,5915.586504,0.594254951
Fuentes fijas,Industria de la madera,364.5942702,274.7670073,28.43187223,2619.439546,267.7721404,3910.64271,37.16170025
Fuentes fijas,Industria textil,413.7073868,305.090866,2547.53641,1431.267397,1253.188729,1438.236135,19.62605309
Fuentes fijas,Manejo de desechos y remediación,31.79789244,17.56738276,26.34516297,538.9688343,198.6503027,91.98864135,2.256345299
Fuentes fijas,Metálico,512.2343538,395.8858549,101.2736197,4012.938314,4651.154675,4214.348061,13.29022442
Fuentes fijas,Metalúrgica (incluye la siderúrgica) ,26798.9438,18735.49035,20224.12545,27860.12442,54804.88047,5970.930747,691.7977976
Fuentes fijas,Mezclas químicas,252.7221095,151.6001137,675.7261548,948.6933088,1071.346803,952.9067196,14.79950074
Fuentes fijas,Minerales no metálicos,1907.413434,1279.013309,610.5264772,6296.559563,4232.62341,1557.185009,16.80767743
Fuentes fijas,"Muebles, colchones y persianas",11.1664989,10.01344525,0.092527597,11.05259664,14.61700975,117.5516335,0.064412508
Fuentes fijas,Otras industrias,145.6173447,129.980245,79.37192891,378.2725338,404.6546843,2858.933594,5.384612806
Fuentes fijas,Papel y cartón,139.1636176,108.8404112,648.6180489,581.7138763,3372.88718,2766.703934,3.680861634
Fuentes fijas,Petróleo y petroquímica,13452.5571,9377.613542,513248.324,121020.0767,58955.1286,18050.32427,751.6944
Fuentes fijas,Pinturas y tintas ,328.723903,228.1443069,2.1937612,33.7409752,57.5197008,5872.04522,1.197
Fuentes fijas,Plástico y hule,313.6896746,243.7813939,569.7771535,4817.55752,6223.519931,6332.16961,19.09279516
Fuentes fijas,Química ,3018.845364,2180.656013,16458.77961,4639.367149,9316.01975,5071.203104,116.4283044
Fuentes fijas,Tratamiento de residuos peligrosos ,1.983046308,1.586614194,5.3233948,18.5274833,33.7771154,41.112616,0.7554
Fuentes fijas,Vidrio,1252.084428,1230.741,9.8752,1387.756,11658.98224,144.704774,52.8436
Fuentes de área,Agropecuarias,308593.0207,173420.3895,5954.650867,917031.1053,40618.48199,98718.82041,665120.0462
Fuentes de área,Almacenamiento y transporte de derivados de petróleo,0,0,0,0,0,431721.9161,0
Fuentes de área,Fuentes industriales ligeras y comerciales,43996.09338,11180.41207,10.7359533,18939.27218,515.9578768,7123.045256,0
Fuentes de área,Fuentes misceláneas,127270.1177,88149.14295,7825.449032,355015.9539,12887.57264,25552.40507,178269.6893
Fuentes de área,Manejo de Residuos,386.3981787,355.0229121,11.35137596,1381.716012,68.10825574,107153.0068,18.13358033
Fuentes de área,Quema de combustibles en fuentes estacionarias,123517.8517,118541.7033,3838.170912,1435393.951,76250.50788,318158.6857,498.1459755
Fuentes de área,Uso de Solventes,0,0,0,0,0,603112.9491,0
Fuentes móviles,Carreteras,82209.75752,73000.05987,25452.54214,5115555.657,1190192.694,501431.4175,9072.062695
Fuentes móviles,No carreteras,10245.04758,9843.12041,3536.162032,110264.0757,147377.8423,17577.16441,4.461858467
Fuentes naturales,Emisiones biogénicas,0,0,0,0,1152963.905,9789401.879,0
Notas:,,,,,,,,
Cantidades en toneladas.,,,,,,,,
"* Si se muestran ""blancos"" en la posicion de cifras, representan valores no reportados o nulos.",,,,,,,,
