CVE Estado,Estado,sector,  PM10,  PM2.5,  SO2,  CO,  NOX,  COV,  NH3
1,Aguascalientes,"Accesorios, aparatos eléctricos y equipos de generación eléctrica",0.467644,0.333042,0,0.0533,0.0936,7.941812,0
1,Aguascalientes,Alimentos y bebidas,12.716805,6.78704,367.2357809,19.53464,54.15554,1.6719,1.059
1,Aguascalientes,Automotriz ,135.4579586,94.72422608,0.3244,49.032,61.8213,801.4091347,1.7092
1,Aguascalientes,Cemento y cal ,75.669356,50.994566,1329.3097,56.2263,2406.254,6.5221,0.2722
1,Aguascalientes,Industria textil,30.6968056,26.3526308,65.8132,11.1952,19.1816,0.6017,0.4168
1,Aguascalientes,Manejo de desechos y remediación,4.0888696,2.9325128,1.6372952,3.7594,2.0670869,0.0912,0.0445
1,Aguascalientes,Metálico,13.2753554,10.3570022,0.0112,25.2359,43.506,154.5196588,0.0542
1,Aguascalientes,Metalúrgica (incluye la siderúrgica) ,63.40516807,46.08800296,5.742227134,15.58472362,23.99056808,4.123415028,0.336999898
1,Aguascalientes,Mezclas químicas,0.0017,0.0017,0,0.0179,0.0315,0.24572,0
1,Aguascalientes,Minerales no metálicos,130.4319818,89.41038346,219.4411,28.4825,93.3169,29.874122,0.8358
1,Aguascalientes,Papel y cartón,1.762496,1.6957425,0.0305,0.4364,0.8264,425.6011,0.0043
1,Aguascalientes,Petróleo y petroquímica,0,0,0,0,0,29.8528074,0
1,Aguascalientes,Pinturas y tintas ,0.590604192,0.569137373,0,0.019,0.0334,0.47528,0
1,Aguascalientes,Plástico y hule,3.1910346,2.2550153,1.9366,7.4247,2.285,12.2994,0.0354
1,Aguascalientes,Química ,2.869656092,1.712457722,0.5622,5.7394,11.1493,3.207606815,0.1771
1,Aguascalientes,Tratamiento de residuos peligrosos ,0.0009,0.0009,0,0.009,0.0157,0.0004,0
2,Baja California,"Accesorios, aparatos eléctricos y equipos de generación eléctrica",116.8377711,65.0302561,0.7322388,59.9936856,41.189,1175.852897,0
2,Baja California,Alimentos y bebidas,11.8168516,6.7943286,121.75472,1036.284959,1191.27887,109.90074,0
2,Baja California,Automotriz ,13.1971364,11.15120593,0.3949,55.3001,62.6884,3478.85849,2.1134
2,Baja California,Celulosa y papel ,20.55736,16.07137757,114.7621,33.2747,54.0625,137.0886595,1.3939
2,Baja California,Cemento y cal ,1.626273269,1.008289427,6.15315499,26.98513575,93.30818716,1.4519,0
2,Baja California,"Cuero, piel y materiales sucedáneos",0.18695,0.18695,0,0,0,0.001294,0
2,Baja California,Derivados del petróleo y carbón,0.00578,0.00578,0,190.64284,0.66765,171.72426,0
2,Baja California,Extracción/Beneficio minerales no metálicos,395.977403,198.876768,302.39944,9.4158,312.86138,44.36706,0
2,Baja California,Generación de energía eléctrica ,1934.6316,1929.157688,32.3993,3300.3599,8214.81576,97.384,12.2145
2,Baja California,Impresión,3.81517,2.718545,0,9.03905,0.003,107.93259,0
2,Baja California,Industria de la madera,161.3246,100.71349,0.28572,121.819578,5.015076,864.518039,0
2,Baja California,Industria textil,12.59145,6.32095,0.0016,11.671559,6.47624,44.076225,0
2,Baja California,Manejo de desechos y remediación,1.059155,0.7948375,1.74823,113.13663,0.52115,5.19831,0
2,Baja California,Metálico,36.7359754,25.6066854,22.72058,66.6447318,6.718371,522.6946795,0
2,Baja California,Metalúrgica (incluye la siderúrgica) ,5.129626183,4.565268503,10.2304229,28.12002906,35.63198961,1.460769335,0.793192583
2,Baja California,Mezclas químicas,164.695125,82.5146375,166.66405,168.67395,2.15374,22.4316,0
2,Baja California,Minerales no metálicos,331.8424164,232.8535614,29.045352,3043.57876,362.65672,391.14408,0
2,Baja California,"Muebles, colchones y persianas",0.251008,0.251008,0,0,0,9.10772,0
2,Baja California,Otras industrias,2.63742,2.63742,0.115,11.91833,3.39942,242.67132,0
2,Baja California,Papel y cartón,6.69241,5.57791,6.192,6.76464,5.875,22.510359,0
2,Baja California,Petróleo y petroquímica,0.0101,0.00135,0.0134,0.0323,0.1472,118.1441705,0.0007
2,Baja California,Pinturas y tintas ,0,0,0,0,0,0.005376,0
2,Baja California,Plástico y hule,18.4306514,17.8688939,18.26458,99.998611,88.866147,649.088145,0
2,Baja California,Química ,1.136,1.136,0.0135,12.1427,20.3076,0.1167,0.0682
2,Baja California,Tratamiento de residuos peligrosos ,0.0236,0.0236,0,0.2511,0.4409,0.0108,0
2,Baja California,Vidrio,66.92121752,66.01881492,1.2048,168.6356,1673.424832,11.175954,6.4455
