CVE Estado,Estado,CVE Municipio,Municipio,Categoría,  PM10,  PM2.5,  SO2,  CO,  NOX,  COV,  NH3
01,Aguascalientes,001,Aguascalientes,"Accesorios, aparatos eléctricos y equipos de generación eléctrica",0.467644,0.333042,0,0.0533,0.0936,7.9001056,0
01,Aguascalientes,001,Aguascalientes,Alimentos y bebidas,10.547771,5.654116,333.2271809,17.04874,47.86994,1.5732,0.9652
01,Aguascalientes,001,Aguascalientes,Automotriz ,58.22683719,39.87335111,0.3205,45.7473,55.4813,393.268065,1.6882
01,Aguascalientes,001,Aguascalientes,Industria textil,29.6520252,25.6414886,0.0953,9.787,12.2936,0.5751,0.3396
01,Aguascalientes,001,Aguascalientes,Manejo de desechos y remediación,4.0876696,2.9313128,1.6372952,3.7469,2.0451869,0.0912,0.0445
01,Aguascalientes,001,Aguascalientes,Metálico,10.2544062,7.5591316,0.0058,1.2692,1.7662,18.022982,0.0313
01,Aguascalientes,001,Aguascalientes,Metalúrgica (incluye la siderúrgica) ,5.353017863,4.284548763,2.249525061,15.05607962,22.45034808,2.159715028,0.334599898
01,Aguascalientes,001,Aguascalientes,Minerales no metálicos,31.586697,19.579429,183.254,7.257,60.842,0,0
01,Aguascalientes,001,Aguascalientes,Papel y cartón,1.762496,1.6957425,0.0305,0.4364,0.8264,425.6011,0.0043
01,Aguascalientes,001,Aguascalientes,Petróleo y petroquímica,0,0,0,0,0,29.8528074,0
01,Aguascalientes,001,Aguascalientes,Plástico y hule,0.2958,0.1961,1.935,7.1958,2.0125,0.0093,0.0266
01,Aguascalientes,001,Aguascalientes,Química ,0.1347,0.0955,0.296,1.1365,2.5803,0.0105,0.0417
01,Aguascalientes,001,Aguascalientes,Tratamiento de residuos peligrosos ,0.0009,0.0009,0,0.009,0.0157,0.0004,0
01,Aguascalientes,002,Asientos,Metalúrgica (incluye la siderúrgica) ,57.6816753,41.53080622,0,0,0,0,0
01,Aguascalientes,005,Jesús María,"Accesorios, aparatos eléctricos y equipos de generación eléctrica",0,0,0,0,0,0.0417064,0
01,Aguascalientes,005,Jesús María,Alimentos y bebidas,0.2187,0.2079,2.1416,2.0637,3.0756,0.0837,0.0511
01,Aguascalientes,005,Jesús María,Automotriz ,0.133320211,0.109020777,0.0039,0.5505,1.5401,66.753469,0.021
01,Aguascalientes,005,Jesús María,Industria textil,0.1153,0.0738,18.1516,0.3396,1.3144,0.0042,0.0129
01,Aguascalientes,005,Jesús María,Metalúrgica (incluye la siderúrgica) ,0.35826271,0.26294838,3.4868,0.481,1.445,1.9635,0.0016
01,Aguascalientes,005,Jesús María,Mezclas químicas,0.0017,0.0017,0,0.0179,0.0315,0.24572,0
01,Aguascalientes,005,Jesús María,Minerales no metálicos,93.99572033,66.80288146,0.2668,20.7449,28.72,29.854922,0.7782
