Categoría,  PM10,  PM2.5,  SO2,  CO,  NOX,  COV,  NH3
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",465.7371189,350.4450793,9.634406329,10568.65988,536.4112713,3456.973001,4.663223051
Alimentos y bebidas,79010.14049,44940.31323,31764.69075,21838.66571,17815.09276,1055.613512,148.1217148
Almacenamiento de combustibles,3.12257104,2.11419518,61.0759593,1.11665,8.51198,1.167877,0.172987935
Asbesto ,1.412136854,1.098608362,0.0263,3.6975,6.9518,0.2423,0.1414
Automotriz ,1778.694657,1374.881303,83.94060549,1185.28117,1827.519908,21802.37099,37.95507185
Celulosa y papel ,1478.613911,1236.434346,7630.586283,1805.37657,4210.000003,5515.069061,66.4308
Cemento y cal ,5365.571312,3184.68813,33987.02616,15162.58129,51006.34782,175.4083,29.6569
"Cuero, piel y materiales sucedáneos",38.80079088,27.38504852,13.5071765,95.86309963,50.89905461,425.1733055,0.489131019
Derivados del petróleo y carbón,127.0242166,105.8231976,139.6243667,460.0260029,170.331072,174.6097906,3.120834619
Extracción/Beneficio minerales no metálicos,3876.96271,2195.565549,1532.853031,164.0522604,1075.503941,93.63721639,2.524216328
Generación de energía eléctrica ,52398.58157,39944.45784,683849.8944,60968.0023,205787.2544,3028.5579,987.6998
Impresión,37.06805148,29.27286492,1.103192661,66.24398135,53.88943543,5915.586504,0.594254951
Industria de la madera,364.5942702,274.7670073,28.43187223,2619.439546,267.7721404,3910.64271,37.16170025
Industria textil,413.7073868,305.090866,2547.53641,1431.267397,1253.188729,1438.236135,19.62605309
Manejo de desechos y remediación,31.79789244,17.56738276,26.34516297,538.9688343,198.6503027,91.98864135,2.256345299
Metálico,512.2343538,395.8858549,101.2736197,4012.938314,4651.154675,4214.348061,13.29022442
Metalúrgica (incluye la siderúrgica) ,26798.9438,18735.49035,20224.12545,27860.12442,54804.88047,5970.930747,691.7977976
Mezclas químicas,252.7221095,151.6001137,675.7261548,948.6933088,1071.346803,952.9067196,14.79950074
Minerales no metálicos,1907.413434,1279.013309,610.5264772,6296.559563,4232.62341,1557.185009,16.80767743
"Muebles, colchones y persianas",11.1664989,10.01344525,0.092527597,11.05259664,14.61700975,117.5516335,0.064412508
Otras industrias,145.6173447,129.980245,79.37192891,378.2725338,404.6546843,2858.933594,5.384612806
Papel y cartón,139.1636176,108.8404112,648.6180489,581.7138763,3372.88718,2766.703934,3.680861634
Petróleo y petroquímica,13452.5571,9377.613542,513248.324,121020.0767,58955.1286,18050.32427,751.6944
Pinturas y tintas ,328.723903,228.1443069,2.1937612,33.7409752,57.5197008,5872.04522,1.197
Plástico y hule,313.6896746,243.7813939,569.7771535,4817.55752,6223.519931,6332.16961,19.09279516
Química ,3018.845364,2180.656013,16458.77961,4639.367149,9316.01975,5071.203104,116.4283044
Tratamiento de residuos peligrosos ,1.983046308,1.586614194,5.3233948,18.5274833,33.7771154,41.112616,0.7554
Vidrio,1252.084428,1230.741,9.8752,1387.756,11658.98224,144.704774,52.8436
Notas:,,,,,,,
Cantidades en toneladas.,,,,,,,
"* Si se muestran ""blancos"" en la posicion de cifras, representan valores no reportados o nulos.",,,,,,,
