Año,Fuente,Cve. Edo.,Entidad Fed.,PM10,PM2.5,SO2,CO,NOX,COV,NH3
2005,AREA,1,AGUASCALIENTES,"4,159.26","2,921.86","4,184.56","20,816.05","3,477.93","19,337.84","20,899.68"
2005,AREA,2,BAJA CALIFORNIA,"11,663.15","8,612.71","16,784.09","75,208.42","12,350.39","52,375.69","12,162.86"
2005,AREA,3,BAJA CALIFORNIA SUR,"4,024.20","3,034.90","1,793.27","22,071.83","2,698.27","11,472.82","3,215.62"
2005,AREA,4,CAMPECHE,"6,654.25","4,873.10","1,992.62","36,258.78","3,559.64","15,777.77","10,900.75"
2005,AREA,5,COAHUILA,"9,489.41","6,094.22","13,293.27","38,034.03","12,457.83","46,581.64","18,073.55"
2005,AREA,6,COLIMA,"3,214.94","1,803.73","2,153.36","10,213.73","1,941.02","9,159.60","4,162.20"
2005,AREA,7,CHIAPAS,"33,076.50","23,198.91","2,691.90","173,510.24","6,650.24","73,979.60","47,601.59"
2005,AREA,8,CHIHUAHUA,"20,888.07","11,061.78","21,059.33","58,425.57","22,540.23","68,935.75","32,390.75"
2005,AREA,9,DISTRITO FEDERAL,"2,361.57","1,701.70","1,012.58","16,013.93","14,778.67","139,091.32","20,162.55"
2005,AREA,10,DURANGO,"16,803.24","11,408.26","4,694.67","80,468.31","10,141.23","36,149.88","25,643.33"
2005,AREA,11,GUANAJUATO,"35,974.87","26,673.89","13,713.25","184,660.56","17,916.33","101,256.10","48,448.49"
2005,AREA,12,GUERRERO,"19,468.43","14,632.60","2,912.75","110,969.25","3,814.24","53,433.89","31,933.05"
2005,AREA,13,HIDALGO,"13,752.20","9,976.43","4,505.53","67,428.36","8,502.41","42,100.68","27,040.57"
2005,AREA,14,JALISCO,"33,360.26","20,987.73","20,101.97","140,223.59","28,866.19","115,608.53","118,036.38"
2005,AREA,15,MEXICO,"28,900.94","22,521.82","27,107.56","155,352.65","24,203.17","199,496.11","53,219.64"
2005,AREA,16,MICHOACAN,"25,948.58","19,060.03","5,961.03","137,298.76","13,940.44","77,175.77","46,842.33"
2005,AREA,17,MORELOS,"5,312.73","3,822.65","2,728.43","25,849.70","3,535.81","27,533.44","13,495.70"
2005,AREA,18,NAYARIT,"8,299.45","5,718.16",962.02,"42,235.95","6,501.44","17,836.77","14,446.98"
2005,AREA,19,NUEVO LEON,"13,989.00","7,911.15","19,701.56","45,311.16","13,306.73","75,844.95","28,102.64"
2005,AREA,20,OAXACA,"28,067.57","19,786.64","4,002.39","148,934.47","9,162.31","62,050.99","39,569.07"
2005,AREA,21,PUEBLA,"22,283.13","17,150.16","12,829.87","122,512.05","11,351.03","86,651.88","54,897.68"
2005,AREA,22,QUERETARO,"6,383.14","5,171.58","5,787.54","37,508.83","5,060.25","30,515.37","15,818.76"
2005,AREA,23,QUINTANA ROO,"6,011.68","4,263.74","1,882.27","33,020.55","3,843.69","18,737.14","5,621.52"
2005,AREA,24,SAN LUIS POTOSI,"14,863.29","9,645.37","5,681.85","62,490.90","9,611.97","41,655.75","24,539.26"
2005,AREA,25,SINALOA,"27,323.85","16,650.72","4,042.19","104,309.95","14,301.38","57,180.29","32,727.99"
2005,AREA,26,SONORA,"17,667.65","13,199.13","8,320.68","93,501.79","11,854.72","55,503.76","32,187.44"
2005,AREA,27,TABASCO,"12,153.16","9,922.42","1,971.61","76,516.48","7,359.69","35,863.73","16,808.78"
2005,AREA,28,TAMAULIPAS,"22,052.92","11,509.97","14,387.37","58,269.64","19,125.19","57,765.60","19,313.07"
2005,AREA,29,TLAXCALA,"5,111.74","3,299.59","3,013.14","20,597.00","3,522.61","17,066.62","9,756.96"
