NOM_ENT,PM10,PM25,SO2,CO,NOX,COV,NH3
Aguascalientes,3071.616004,1305.51741,289.535135,6234.499253,4577.072404,16977.25833,9803.041781
Baja California,7274.288953,3266.345734,459.0774234,22291.91992,11393.77154,53954.22581,11868.17511
Baja California Sur,1337.363498,467.3129677,87.35019627,1262.868138,1568.210992,8975.194865,3449.490513
Campeche,7351.699518,6031.993015,385.1702828,50366.28449,28520.4528,30663.42304,8354.85808
Coahuila de Zaragoza,7404.96645,4444.76292,515.2976456,37881.45209,7570.919147,43848.42274,19678.92524
Colima,2973.87281,1714.65485,126.6073085,10076.92581,1885.539301,14505.7434,3629.440303
Chiapas,41328.44844,37511.81599,854.5541908,286092.8157,17899.36553,270783.5977,34114.20849
Chihuahua,24930.36429,12148.67845,2034.492043,65396.02645,33364.58,85943.4704,34626.48937
Distrito Federal,1077.47316,589.4873096,23.25024362,6434.384573,2790.299908,97321.32396,13841.65883
Durango,14874.73358,8900.144294,1249.449236,64446.76926,16954.95132,46742.2256,29371.09548
Guanajuato,22286.82533,11530.05534,1526.564053,58981.12859,27226.38122,106485.3399,40398.17678
Guerrero,23967.36176,20362.13262,452.3522329,153387.7236,4233.514994,156650.3421,29641.21275
Hidalgo,15658.91041,12138.02252,504.7413072,84232.71663,9795.655984,99152.51999,24142.52349
Jalisco,24642.44035,14470.48545,1727.598763,93470.66576,24705.79474,131153.1737,72324.15402
Mexico,27982.33727,22043.20718,847.7270758,152788.1444,19742.27822,296958.0944,39642.56629
Michoacan de Ocampo,24603.91098,17506.65373,1234.040863,120210.0495,18623.49666,135477.6146,32230.4826
Morelos,4844.117657,3677.449317,185.6895212,24947.07297,2867.013726,39567.05566,6072.317244
Nayarit,7186.097862,4895.683139,447.8738268,33176.93637,5814.928126,26467.93857,12055.08686
Nuevo Leon,9211.446908,4805.999638,436.9218514,29964.46356,16546.38678,76889.74112,15579.07757
Oaxaca,38122.53128,32774.154,811.4946529,244587.6671,7696.617745,223636.3228,34998.09524
Puebla,30210.18033,25424.70314,727.1023237,182603.8949,11566.857,219869.6678,54172.4807
Queretaro Arteaga,4796.907043,3599.735806,236.2503892,25824.65283,5350.447829,43522.70239,14744.5461
Quintana Roo,8942.177134,7303.900757,552.3973689,64768.36663,3028.145991,36208.18145,3979.354208
San Luis Potosi,18479.74843,14052.57633,745.2457856,97372.78084,12569.62725,95261.75246,20170.12603
Sinaloa,21685.86517,10592.6033,1263.668984,52858.17966,18716.84553,66627.60425,26889.87625
Sonora,12663.67319,5564.266745,677.5096706,29100.85356,11764.46017,51958.10281,36828.76081
Tabasco,13590.13806,11923.65281,268.8772116,88880.54344,6884.212681,90912.56009,13184.43977
Tamaulipas,25406.67082,10272.01409,998.538774,45569.51473,26793.68428,61161.61645,18360.29086
Tlaxcala,5073.646608,3044.129868,217.3329602,18185.17807,3566.50806,27985.35872,8793.263609
Veracruz de Ignacio de la Llave,61881.21524,54097.75214,1647.189575,397726.8423,33561.10371,351635.9503,61920.32298
Yucatan,13155.22706,11892.46267,233.6879564,91161.89559,4712.644429,97616.18194,13929.40641
Zacatecas,15543.42546,6488.393983,1661.077703,22363.75626,25335.29451,31142.71155,24202.74419
Total,541559.681,384840.7475,23428.66655,2662646.973,427627.0626,3136055.419,772996.6879
Notas:,,,,,,,
Cantidades en toneladas.,,,,,,,
"* Las cifras que se muestran como "".00"" representan cantidades menores a centecimas.  Si se muestran ""blancos"" en la posicion de cifras, representan valores no reportados o nulos.",,,,,,,
