ESTADO,PM10,PM2.5,SO2,CO,NOX,COV,NH3
Aguascalientes,5736.572244,4323.745968,301.4302665,27440.36062,3973.711847,21161.14148,11107.20799
Baja California,8756.611099,5834.993652,404.6557166,49246.15856,3421.117809,53752.8074,7563.912417
Baja California Sur,3823.020733,2810.35125,283.0356893,29434.5313,1496.700029,12151.06038,3412.877173
Campeche,7530.23794,5841.630696,252.2124672,38766.5093,2831.074025,37291.27123,7724.731641
Coahuila de Zaragoza,11164.64127,8042.560642,461.1579089,43212.88582,6104.260856,46303.07746,20957.56083
Colima,3003.566104,2197.159028,169.2048037,14679.36547,1551.161217,15980.75231,4490.801532
Chiapas,49524.1345,44083.99685,1381.734122,1381.734122,12536.27781,295713.4571,51827.70072
Chihuahua,56638.75337,34222.86238,1622.552734,215896.9688,15164.3095,98008.78296,34581.76096
Distrito Federal,3459.441046,1876.549213,110.2146706,9744.533457,4093.738508,118073.7632,9029.543302
Durango,25094.68742,18863.13401,1115.053613,126676.6442,11449.77583,51600.44428,30869.6621
Guanajuato,31267.48663,20405.9427,1478.321792,114751.119,20645.61683,117227.3671,37308.69254
Guerrero,31354.93974,26722.11053,1033.149871,203604.0303,9291.163527,174474.9042,31818.10647
Hidalgo,21197.88057,16658.7771,1069.738754,117492.8731,15140.68844,108066.297,25386.82481
Jalisco,43154.643,31250.76886,2321.553874,214972.415,22382.54127,146702.4322,74435.96729
Mexico,41658.88737,34331.88938,2233.075873,232056.4653,34794.88599,331232.447,43176.73387
Michoacan de Ocampo,32290.15737,24365.91859,1607.916624,161138.2863,19404.49374,144178.6938,33735.72944
Morelos,6483.832927,5004.953821,424.6620505,32198.28926,5249.010846,43128.98969,6155.767697
Nayarit,8697.775619,6337.310211,629.1849256,39383.38997,7403.356186,41295.58225,10706.35355
Nuevo Leon,5983.989794,3418.797661,233.3910819,17459.65013,4403.472728,73936.86559,18436.09372
Oaxaca,42587.10023,36595.84691,1679.9284,273641.7883,16079.82556,236027.7053,44403.42137
Puebla,37101.25897,30990.69414,1973.179355,217247.6047,26629.34808,234862.5701,51485.91224
Queretaro,7329.261121,5915.256998,354.1970751,40134.77544,4970.900104,45511.7584,14883.50856
Quintana Roo,8509.183854,7217.663588,349.7252354,58571.76819,2097.643886,48115.01492,4643.963646
San Luis Potosi,20516.82104,15415.79625,1079.875779,105817.3339,11767.66089,99565.76014,23193.66455
Sinaloa,29470.6537,19465.02815,1089.96628,111395.7505,12962.63951,75595.54451,25907.23656
Sonora,29175.93028,20300.07365,1718.618717,195819.8626,9883.270417,66870.51215,26529.9818
Tabasco,13683.371,12102.1416,359.7532416,87867.85129,3308.227893,97240.61003,15010.73884
Tamaulipas,29089.34813,14285.02043,791.6725822,57568.19646,9042.559049,62119.55203,23827.64046
Tlaxcala,8240.604145,5866.638003,602.5080682,39545.70333,8825.508082,33167.61785,6834.644129
Veracruz de Ignacio de la Llave,60546.40134,52357.11281,2222.477797,363585.7663,20461.05615,367537.2906,68739.43275
Yucatan,14170.8211,12949.24885,261.6112919,99625.47159,2034.507278,105032.066,15784.01295
Zacatecas,22635.19979,13906.78235,1541.285685,80553.6385,21751.50208,38511.06399,24839.80004
Notas:,,,,,,,
Cantidades en toneladas.,,,,,,,
"* Si se muestran ""blancos"" en la posicion de cifras, representan valores no reportados o nulos.",,,,,,,
