Estado,CVE Estado,  PM10,  PM2.5,  SO2,  CO,  NOX,  COV,  NH3
Aguascalientes,01,8203.098385,4821.738336,228.2501003,23322.94824,1291.169299,17351.07668,43696.98683
Baja California,02,8113.279715,4127.679693,185.3028517,27614.46892,1849.126347,48329.42685,9255.810203
Baja California Sur,03,1527.76753,685.6869143,22.044185,4127.035678,330.3001196,9126.395635,1933.646626
Campeche,04,6779.650965,4198.951017,184.4205172,34971.46418,1321.670941,12137.60464,7064.313252
Chiapas,07,28057.05942,22680.64123,859.5481043,226936.5136,7444.083339,70988.19667,46729.32794
Chihuahua,08,40509.79698,21791.21492,761.9030674,129761.5063,5848.559236,60291.35404,21492.35984
Ciudad de México,09,3699.740421,1445.185855,296.3014424,4721.433207,1810.201675,111861.3695,13934.01064
Coahuila de Zaragoza,05,10688.27331,7383.006143,319.6559791,36654.25046,2268.439254,42787.87247,17349.28469
Colima,06,3452.261339,2248.447859,156.4144805,14772.37639,904.1794346,13200.6921,4235.765157
Durango,10,23321.37103,15693.86425,681.9591291,85623.43094,3696.030955,69217.28401,38939.07408
Guanajuato,11,34636.33111,22727.68199,1222.606423,94212.31629,4916.335729,67265.63435,44194.18792
Guerrero,12,20144.32136,14856.77262,513.4167015,143379.8829,4835.353596,50308.65504,19854.34912
Hidalgo,13,24872.10117,9819.30046,248.4992389,67370.44084,11306.87256,34382.3379,18886.5369
Jalisco,14,50731.61023,34229.04658,1996.446988,199797.675,9632.084168,103832.6734,78390.31266
México,15,30547.1533,20267.37945,625.4696962,147658.006,9906.939401,163927.1126,47645.48571
Michoacán de Ocampo,16,27073.9429,18739.29699,820.4675795,146474.4562,5766.674299,61580.02772,29828.83201
Morelos,17,4757.345407,3110.514988,140.0845052,22364.50557,1412.491605,24700.18563,9925.55774
Nayarit,18,6735.727974,4189.414375,213.3856331,28260.29867,1376.567967,15755.37127,8576.79989
Nuevo León,19,8104.578265,2524.168465,56.09315405,11574.75253,1904.007576,56534.51738,18350.19003
Oaxaca,20,25794.34716,20353.03828,886.5160592,202944.1203,6590.063879,59285.34308,25230.80981
Puebla,21,36290.23574,28229.06083,1636.736706,153312.6701,6700.323924,75016.56269,46337.78098
Querétaro,22,9153.314996,6628.655416,359.2806389,31295.63617,1674.322412,25969.46369,34241.98315
Quintana Roo,23,4077.639261,2548.960204,115.9057835,23320.46656,1182.705894,20075.96098,3297.383714
San Luis Potosí,24,19053.45569,12616.82746,742.5309651,65938.40548,3002.365124,34863.12147,22029.97745
Sinaloa,25,29916.08277,18112.92653,580.437746,104255.2737,5133.10088,42801.08744,34425.95846
Sonora,26,23614.58427,14449.32125,974.1847008,125823.788,5177.893748,44692.47446,29479.28204
Tabasco,27,9202.211071,6585.904417,260.7491151,67094.46548,2303.841954,29816.1714,9637.146168
Tamaulipas,28,30626.87775,14956.10368,425.8788808,65120.97149,3763.773356,49596.69614,15732.48292
Tlaxcala,29,5860.453802,3545.462801,109.8692931,25603.97802,1220.217147,15129.16273,11456.28684
Veracruz de Ignacio de la Llave,30,38165.78802,28650.86569,1265.944916,267710.0055,10038.08654,108625.2834,93139.1053
Yucatán,31,7987.434583,6337.009298,276.0312623,70498.1351,2588.720011,29695.24769,25064.24229
Zacatecas,32,22065.64574,13092.54272,474.0222968,75246.32045,3144.126262,22396.4654,13550.74473
Notas:,,,,,,,,
Cantidades en toneladas.,,,,,,,,
"* Si se muestran ""blancos"" en la posicion de cifras, representan valores no reportados o nulos.",,,,,,,,
