NOM_ENT,PM10,PM25,SO2,CO,NOX,COV,NH3
Aguascalientes,945.4836719,629.281749,1813.737776,235.19281,842.5252809,1835.558097,14.31660479
Baja California,1978.138162,1842.065049,5587.697001,6849.688563,12267.212,11692.26344,254.0225794
Baja California Sur,1028.033398,751.9201015,22890.03356,505.299364,6721.312227,515.9519322,114.971801
Campeche,4526.502885,3846.561131,574972.5388,8698.20877,34131.56467,3465.222986,382.2277346
Coahuila de Zaragoza,19962.64081,16177.28015,190970.077,24171.00732,158742.811,6201.727572,1220.037462
Colima,8207.27418,4958.295654,166475.7789,1767.44879,20578.40517,1295.96636,448.7134116
Chiapas,5062.834486,3082.717989,54592.01977,2509.875776,4844.824298,3418.968002,911.9376261
Chihuahua,3360.454996,2657.105382,33287.37144,9504.762285,11014.60143,4741.410747,264.2216545
Distrito Federal,1380.71962,825.94221,699.4066441,765.6204974,2216.811176,21966.60032,49.77558013
Durango,2971.263663,2373.818006,27144.17513,2929.753764,6644.996452,3155.932067,157.3904049
Guanajuato,3810.08746,2769.634139,48461.90692,74299.41377,9249.144156,10155.49027,1137.448049
Guerrero,8214.793281,7725.09269,104172.2533,2327.306865,11205.90744,707.7845932,88.20485781
Hidalgo,12532.36779,8976.872174,216610.5481,115084.8481,31483.52419,7567.495448,322.4115246
Jalisco,8767.763652,5398.809949,23896.99689,3216.427759,6322.568464,15622.70166,1983.162937
Mexico,5102.839238,3627.420168,6763.230654,6244.056717,15159.0828,48139.93515,232.5100957
Michoacan de Ocampo,5095.153662,3460.219729,13717.22553,2856.298105,4302.702997,5379.258477,1956.511948
Morelos,3132.59776,1851.836921,10141.11911,1325.286031,3624.926066,2884.587605,484.0621662
Nayarit,2912.576276,1649.628526,286.0675077,471.706053,321.4775368,1427.006545,535.7374291
Nuevo Leon,9752.16782,7073.947138,35547.79995,85329.67503,34780.43227,13498.34683,510.5913097
Oaxaca,9218.195073,5838.37124,111004.6225,104373.1422,9831.891196,7382.716306,3375.959523
Puebla,4555.840517,2673.030448,4558.304398,2576.208661,6335.291996,3684.579793,53.74609727
Queretaro Arteaga,1509.728965,1153.161668,4443.636318,2378.645919,6916.045297,5929.588643,91.98117972
Quintana Roo,2075.964585,1198.803306,565.949618,349.2621797,512.3068189,866.0288833,386.6224057
San Luis Potosi,14733.48794,9472.265766,86201.78121,5082.846747,19837.52069,6326.980444,1839.536941
Sinaloa,7203.375149,4623.311964,106276.809,1209.306977,10896.07426,3118.67046,763.3256993
Sonora,7985.970997,5115.788377,75004.0692,3731.67914,13327.7306,4093.282514,326.9737585
Tabasco,3611.810899,2500.941244,14117.94177,6910.923767,21139.05113,6280.472292,607.4152371
Tamaulipas,7571.579627,6162.380553,50157.57386,69356.07663,30307.01723,30731.6153,2070.763082
Tlaxcala,306.7500002,210.6867873,1455.566808,244.4926774,821.8363933,1215.521019,9.92422476
Veracruz de Ignacio de la Llave,41938.33048,25779.44194,160834.8212,81529.42738,45655.87068,26426.52049,7877.237761
Yucatan,2108.148294,1769.124352,19008.06969,2972.577488,10184.18212,3833.767928,197.8971013
Zacatecas,40.45942692,14.66160454,2.453588842,2.277710836,9.311530708,192.5739212,0.355239676
Total,211603.3348,146190.4181,2171661.583,629808.7438,550228.9596,263754.5261,28669.99343
Notas:,,,,,,,
Cantidades en toneladas.,,,,,,,
"* Las cifras que se muestran como "".00"" representan cantidades menores a centecimas.  Si se muestran ""blancos"" en la posicion de cifras, representan valores no reportados o nulos.",,,,,,,
