CVE Estado,Estado,  PM10,  PM2.5,  SO2,  CO,  NOX,  COV,  NH3
1,Aguascalientes,474.626335,334.2143592,1992.044203,222.7503636,2718.727895,1478.437357,4.945499898
2,Baja California,3308.13305,2777.885615,835.0950887,8574.684689,12182.50913,8228.916138,23.02939258
3,Baja California Sur,2164.930656,1066.180072,32842.63526,5532.836382,26948.51889,203.2282964,15.8262452
4,Campeche,4635.751109,3809.438198,108966.1683,4987.836981,18538.94197,508.7004687,25.07354663
5,Coahuila de Zaragoza,22785.10217,14902.16167,145107.1575,24863.87529,63066.58343,5798.726287,410.8416487
6,Colima,4494.695914,3237.379412,16228.01756,2658.198792,7071.501495,282.1655832,55.37077466
7,Chiapas,5275.027807,3088.15937,12090.46729,1837.134521,3342.416704,209.4272377,65.93997434
8,Chihuahua,3388.098487,2582.784661,12619.10931,22052.80572,20544.7526,1478.075789,103.1148817
9,Ciudad de México,890.0825822,661.4614337,92.72512617,904.233868,2196.921853,12481.9296,17.08247503
10,Durango,1965.660395,1455.017643,15137.52483,3453.453233,4162.210844,2711.571456,115.2920502
11,Guanajuato,3341.928797,2602.78717,17305.35149,6888.97521,6953.541228,12057.44542,89.47416748
12,Guerrero,5918.22531,3379.44219,62510.64509,3747.60456,25129.15234,42.29378236,3.14935316
13,Hidalgo,9156.034728,6520.17179,146094.519,8765.231661,26850.53981,3897.117917,257.2505731
14,Jalisco,14037.55966,8206.789538,14479.70035,3205.820673,6113.978147,4193.605648,49.86653069
15,México,2746.403708,2232.85544,1797.704055,10933.10565,12315.40925,10442.92805,123.6311498
16,Michoacán de Ocampo,5739.917146,3682.438887,20789.7532,5398.793797,14190.72046,533.112177,185.1153171
17,Morelos,1379.000757,861.6889645,385.2710316,3197.220381,9062.833345,491.2006893,5.4646
18,Nayarit,3419.286533,1950.562093,144.1452,835.0877,544.81112,15.03509533,0.8728
19,Nuevo León,9790.770423,7207.595154,16678.6353,27552.08716,30952.04264,8256.106358,196.9261557
20,Oaxaca,6665.101797,3925.480469,99603.20519,2827.06455,7234.521737,1023.025121,86.8356259
21,Puebla,3527.59747,2340.626573,9191.489399,3242.479018,11922.74303,1808.244594,27.3363711
22,Querétaro,1124.27434,922.6888566,1972.816972,1747.151582,4639.154942,4715.393735,33.54646865
23,Quintana Roo,2186.890268,1243.116498,84.07446924,155.7122915,1250.920102,50.16448556,0.1348
24,San Luis Potosí,13417.58646,8610.849426,64448.2134,7203.936309,22018.66436,2708.28756,77.49927627
25,Sinaloa,1149.928252,716.0458791,55754.11326,583.1146146,4117.747248,441.8115775,76.46089186
26,Sonora,2399.855488,1816.246718,17625.84382,3018.550234,9090.118633,2542.423345,96.87347016
27,Tabasco,4624.273378,2999.131972,76817.65499,3850.503602,9467.158648,355.8999029,73.71922794
28,Tamaulipas,10076.12936,7927.759112,121484.4342,85375.08281,24738.07425,9561.977479,317.6000694
29,Tlaxcala,274.3192967,194.2208262,1043.329657,359.2791999,978.6783284,1878.794619,5.317966842
30,Veracruz de Ignacio de la Llave,37789.45507,23689.8319,220273.6839,31806.57462,41561.10484,2267.562092,457.7042107
31,Yucatán,1806.529518,1234.426107,19913.29079,3124.356673,9144.202287,229.7831032,26.69454032
32,Zacatecas,3573.797476,1883.813248,1.464166131,10.08050514,16.23462129,142.0055744,0.460964627
Notas:,,,,,,,,
Cantidades en toneladas.,,,,,,,,
"* Si se muestran ""blancos"" en la posicion de cifras, representan valores no reportados o nulos.",,,,,,,,
