CVE Estado,Estado,CVE Municipio,Municipio,  PM10,  PM2.5,  SO2,  CO,  NOX,  COV,  NH3
01,Aguascalientes,001,Aguascalientes,152.3699641,107.8446624,523.0511012,108.7432196,208.277075,879.064475,3.475999898
01,Aguascalientes,002,Asientos,57.6816753,41.53080622,0,0,0,0,0
01,Aguascalientes,005,Jesús María,94.86000325,67.49525062,24.0523,24.5993,36.7025,98.9622174,0.8736
01,Aguascalientes,006,Pabellón de Arteaga,4.8302645,3.017673,35.8528,0.3423,3.3784,0.0168,0.0481
01,Aguascalientes,007,Rincón de Romos,0.3499,0.1498,0.2422,0.9246,4.0465,0.2128,0.0054
01,Aguascalientes,009,Tepezalá,75.669356,50.994566,1329.3097,56.2263,2406.254,6.5221,0.2722
01,Aguascalientes,011,San Francisco de los Romo,88.86517193,63.18160099,79.53610207,31.914644,60.06942,493.6589643,0.2702
02,Baja California,001,Ensenada,77.379692,38.10614566,309.2489923,44.34194334,451.7248052,118.5078562,9.24044E-05
02,Baja California,002,Mexicali,1183.191887,1178.739275,27.19421467,2287.993275,4519.724471,3227.911722,8.516800178
02,Baja California,003,Tecate,89.55046259,56.05247809,44.21909,794.2971889,99.7155,196.10268,0
02,Baja California,004,Tijuana,1122.021012,670.7574198,441.1950918,3869.267182,1669.327446,4435.74031,2.2973
02,Baja California,005,Playas de Rosarito,835.9899962,834.2302962,13.2377,1578.7851,5442.01691,250.6535693,12.2152
03,Baja California Sur,001,Comondú,653.926567,318.2010995,8285.2698,1978.441,9211.194,48.0113,0.2645
03,Baja California Sur,002,Mulegé,213.9315565,70.94469412,1511.008761,591.0392825,3052.35613,90.0103113,0.827045199
03,Baja California Sur,003,La Paz,1216.047032,666.8895536,22991.2303,2899.0718,13497.92526,62.35368509,14.6287
03,Baja California Sur,008,Los Cabos,80.893,10.111625,54.3739,63.6219,1184.3939,2.8265,0
03,Baja California Sur,009,Loreto,0.1325,0.0331,0.7525,0.6624,2.6496,0.0265,0.106
04,Campeche,002,Campeche,672.9558939,536.8413239,107631.5153,686.6212005,4256.139299,318.2792542,14.1101
04,Campeche,003,Carmen,2473.130652,2396.725237,1280.551977,4080.515713,13402.4011,169.2544566,10.95924663
04,Campeche,004,Champotón,1344.933981,782.0901799,10.13686564,33.04128636,255.5999086,10.14149705,0
04,Campeche,007,Palizada,140.7791,89.829975,40.29140238,175.1623,569.014269,5.3494,0.0042
04,Campeche,009,Escárcega,3.950482479,3.950482479,3.672733797,12.49068134,55.75319434,5.675260889,0
04,Campeche,011,Candelaria,0.001,0.001,6.2208E-07,0.0058,0.0342,0.0006,0
05,Coahuila de Zaragoza,002,Acuña,14.53901649,12.51395702,0.159441838,42.3687,145.0594,55.5279335,0.835922623
05,Coahuila de Zaragoza,004,Arteaga,0.957564,0.924195,0.0007,0.4531,0.7362,0.022,0.004
