NOM_ENT,PM10,PM2.5,SO2,CO,NOX,COV,NH3
Aguascalientes,317.8905041,270.3035018,331.5324918,43524.33079,8269.045471,5952.973134,215.2841821
Baja California,1837.312201,1419.207538,3983.668331,3573765.142,259569.3532,297774.0162,7684.615669
Baja California Sur,347.9342929,311.67787,1702.981693,38531.57635,5921.540625,4876.104012,199.2290214
Campeche,442.5813218,407.2035749,890.1244582,45418.94332,5021.366031,8670.115304,107.1529807
Coahuila de Zaragoza,1037.612931,854.459689,992.9106436,1562114.028,93065.46354,138791.2162,2643.412952
Colima,414.3133947,369.9293966,1879.939271,234607.1697,17064.92085,21599.09845,533.6389521
Chiapas,451.2994366,376.8598974,455.4045769,100153.4373,10666.37529,12565.18696,387.8273252
Chihuahua,2396.154953,2201.394087,1130.749579,177301.9582,36476.68555,20576.59775,724.9627819
Distrito Federal,2001.999191,1567.974134,2332.771581,1084979.221,150955.192,142140.5652,4907.191716
Durango,1418.894823,1321.015093,484.8512859,357137.2091,37968.86901,30516.25278,891.7797175
Guanajuato,2230.568854,2067.243027,790.2569794,1107968.969,66397.79017,98310.43606,1209.895985
Guerrero,495.6498807,377.5071755,902.1662138,717314.1785,57237.74056,74139.47833,2077.010223
Hidalgo,1008.883438,915.9068708,517.0764457,86288.08298,15818.62957,9213.577184,392.952722
Jalisco,4259.340487,3707.029688,3263.660915,4275280.426,206219.5744,433092.3998,7995.620928
Mexico,2769.460304,2218.865939,3001.158402,3200487.594,218555.6455,224405.9202,6994.774644
Michoacan de Ocampo,2499.91024,2098.802584,2041.745452,4329060.894,189378.8368,284183.242,4514.785144
Morelos,429.8523583,358.3855491,419.8542007,537305.3051,35002.59642,37880.8892,963.2966276
Nayarit,1301.001121,1215.587025,386.4594097,628618.9786,38567.39088,48737.423,675.5658084
Nuevo Leon,2294.20741,1835.254961,2643.494907,2935270.728,245002.4761,272869.775,6858.226064
Oaxaca,903.7318098,828.0915445,841.9737383,103259.3154,12509.91621,13246.57533,303.948982
Puebla,2933.452581,2563.522789,1205.169741,811029.4668,180441.2266,82814.7434,2705.480977
Queretaro Arteaga,362.0527094,292.486828,482.7739741,99498.13909,13634.35594,9816.048398,337.9465373
Quintana Roo,403.6388761,343.9317811,1634.077809,69953.01432,7110.439164,10894.05841,247.6123722
San Luis Potosi,1055.471569,955.4849048,470.8007041,106006.2633,15115.79968,16675.11329,323.8245862
Sinaloa,2282.421083,2129.984488,1772.03569,203668.7412,31640.91222,21953.00722,494.8157532
Sonora,1180.051289,1055.964794,951.3873286,156742.2279,22510.6877,18462.911,547.914226
Tabasco,561.9701268,492.9539703,717.6113709,76040.62908,12711.75436,9053.465448,291.7155332
Tamaulipas,2907.075084,2712.14559,2931.483971,187996.0537,32158.37852,21506.36536,688.0461457
Tlaxcala,384.0320237,352.1834758,152.6685643,29450.86172,5133.583579,3242.313139,132.3400156
Veracruz de Ignacio de la Llave,2618.924681,2300.159042,4966.532542,1787708.869,138712.0629,171075.6308,4621.70041
Yucatan,303.7214704,245.1452927,1164.222246,68770.63563,9080.043196,10536.14021,256.4690094
Zacatecas,1983.093005,1841.152282,681.9349267,1008396.095,54049.30528,72678.67111,1309.797251
Notas:,,,,,,,
Cantidades en toneladas.,,,,,,,
"* Las cifras que se muestran como "".00"" representan cantidades menores a centecimas.  Si se muestran ""blancos"" en la posicion de cifras, representan valores no reportados o nulos.",,,,,,,
