ESTADO,PM10,PM2.5,SO2,CO,NOX,COV,NH3
Aguascalientes,693.6057877,664.7644705,505.4539224,50582.96916,15589.59277,4005.261916,191.8326342
Baja California,2283.548101,2192.133629,1537.058338,148945.6744,51782.75382,9844.295346,716.261582
Baja California Sur,645.019775,619.9415637,495.0896954,37804.64737,14274.2899,2563.327446,173.3098515
Campeche,318.490138,303.6084315,237.4924194,38637.61493,7255.430292,3683.324109,94.17498152
Coahuila de Zaragoza,1804.172477,1733.936162,1147.188505,99320.60763,40246.56372,7188.590909,439.527979
Colima,561.030686,538.8601347,323.9449832,35916.43839,11758.69154,3095.154729,115.7852987
Chiapas,995.2659257,956.0671345,692.9566913,60139.7557,21862.82117,4771.50536,236.0747296
Chihuahua,2560.802435,2454.143262,1738.824699,165926.0956,59342.016,11460.86142,757.289348
Distrito Federal,4015.758943,3850.786795,3221.644196,434729.2078,97182.19152,30214.25593,2112.122381
Durango,1078.900569,1036.254448,632.6066038,54552.98657,22765.01787,4061.586288,225.4383902
Guanajuato,2409.184216,2311.034133,1732.819497,158236.0647,54318.9264,12526.71592,613.8168516
Guerrero,1249.947851,1201.432544,990.8707005,80878.40178,28823.66098,6337.178106,335.4819714
Hidalgo,1279.821426,1228.712752,1014.233559,74563.76596,29366.53306,5026.720506,349.8488894
Jalisco,4550.203162,4359.549278,3372.287688,342693.2271,103481.0055,27755.45961,1278.301261
Mexico,3036.659689,2917.138281,2540.137047,232711.5928,70627.1891,14881.72952,1110.862046
Michoacan de Ocampo,2721.158323,2610.947891,2033.298203,173899.4432,60969.74655,13882.72228,670.3403607
Morelos,825.4815117,792.2180751,506.5447702,56059.60849,18080.72134,4284.248893,225.735875
Nayarit,607.8421678,583.6663577,421.9735961,36960.03184,13210.21832,2957.232371,137.0819644
Nuevo Leon,2654.228216,2545.859902,2123.781223,187986.6846,62104.36302,12719.76256,870.6465564
Oaxaca,903.5237524,867.6323774,558.0908626,54088.34164,19262.17508,4430.239091,195.3105821
Puebla,1991.154867,1909.766189,1384.513297,122882.513,44111.9301,9048.046912,531.8103809
Queretaro,606.0156,581.1330647,494.7136979,44032.89637,14334.84386,3134.131143,195.7178572
Quintana Roo,329.3775875,314.0125516,339.4912316,52822.82088,7848.654289,5252.207814,128.2358346
San Luis Potosi,1223.931041,1173.994546,948.4676722,90395.96251,27598.16079,7350.838476,330.5235974
Sinaloa,1866.275289,1790.764152,1211.143063,109725.4087,40932.83645,8452.841248,429.9098646
Sonora,1986.262737,1911.825592,1144.660896,98830.43617,40997.76694,7043.430748,418.619834
Tabasco,661.8257635,633.0080492,497.5371464,55527.28146,15649.6881,4613.33767,195.4224691
Tamaulipas,2309.245318,2217.930074,1472.406292,138169.4605,51068.83961,9530.068915,623.0336423
Tlaxcala,363.419582,349.1955736,245.0861433,22744.60797,8135.602944,1621.620668,93.61114036
Veracruz de Ignacio de la Llave,2689.04526,2582.212771,1767.37989,165530.8559,58151.68789,12828.75675,651.8654297
Yucatan,596.2351661,570.0519217,489.9960684,74183.11176,13598.89247,6943.221371,202.9625664
Zacatecas,1083.511815,1037.235953,790.2980907,66980.47669,25567.34039,5049.118585,268.9625317
Notas:,,,,,,,
Cantidades en toneladas.,,,,,,,
"* Si se muestran ""blancos"" en la posicion de cifras, representan valores no reportados o nulos.",,,,,,,
