CVE Estado,Estado,  PM10,  PM2.5,  SO2,  CO,  NOX,  COV,  NH3
01,Aguascalientes,1023.852205,941.6871854,420.1723531,62052.64602,14502.36631,6609.938774,105.2493859
02,Baja California,2335.328163,2144.201973,927.831286,157960.3547,40557.33467,14791.21353,210.8669983
03,Baja California Sur,811.1875246,744.0164388,419.089765,83273.8766,17170.8922,7241.600935,85.73371103
04,Campeche,1327.339944,1226.1942,498.4744207,61168.50613,13797.72183,5092.554259,106.2003372
05,Coahuila de Zaragoza,3515.960068,3231.209781,936.3923892,95841.3513,35541.48266,10031.70501,151.9531286
06,Colima,1002.267438,923.6045567,379.4057602,55887.80928,13500.25899,4977.064374,79.081094
07,Chiapas,2298.409793,2109.368131,952.5217466,171887.1357,31899.04955,13307.9118,230.7031584
08,Chihuahua,3846.347682,3545.378503,1469.270951,243238.6281,64530.3533,23058.80451,276.4099119
09,Ciudad de México,5716.933096,2936.373078,614.1481019,275409.8833,56798.38764,30075.54743,944.7132547
10,Durango,2382.985014,2202.802847,600.0801283,81579.97636,27708.007,7322.779926,98.35061316
11,Guanajuato,5760.142806,5291.451749,1848.175717,226802.1796,63250.72039,24303.50079,435.8247931
12,Guerrero,1450.162965,1326.399938,820.5352874,214835.7836,30190.14068,15688.98551,230.4730465
13,Hidalgo,3196.586903,2962.808806,902.4381332,99726.32217,37434.44947,11496.88285,151.490714
14,Jalisco,3299.115221,3054.413519,558.0552788,336796.5505,92349.21433,42400.3428,768.0781866
15,México,3890.988525,3551.21126,465.3761606,520028.203,129758.8329,60291.84755,1158.208444
16,Michoacán de Ocampo,5033.277465,4633.406825,2220.064242,383394.8099,77173.10718,32833.53874,522.1014086
17,Morelos,1382.884317,1282.332418,521.1184955,103988.9646,20845.71992,8336.880232,142.0446734
18,Nayarit,1241.972788,1150.233638,419.9029815,75630.67492,16036.81741,6455.701752,89.03807868
19,Nuevo León,1861.993749,1704.039756,271.2920648,209941.2452,69472.93115,22109.24728,425.9645164
20,Oaxaca,2020.380851,1870.190594,722.0751286,89662.97781,26451.34945,9199.931498,185.2782915
21,Puebla,4188.225735,3849.163311,1432.01689,214859.5977,54187.43742,20362.8426,339.8633838
22,Querétaro,2612.051956,2400.338074,795.7060436,87234.44222,29687.01052,9711.857514,159.5217398
23,Quintana Roo,1417.790276,1301.545403,856.3601433,121104.3837,24746.33881,11582.33276,234.5638158
24,San Luis Potosí,4982.239437,4591.908489,1301.181384,140460.8295,43140.88686,15507.21931,242.0612927
25,Sinaloa,3501.538196,3232.54641,1132.372158,168667.8934,46476.29954,16324.57405,237.3900159
26,Sonora,4325.42874,3985.486003,1220.84128,133660.322,46886.6841,12472.11852,191.7010992
27,Tabasco,1869.526959,1720.432698,751.8558347,110014.6768,21480.53428,8782.122965,165.0479371
28,Tamaulipas,4319.679994,3997.854824,1545.253987,206700.5226,55239.67198,18399.71238,252.3727641
29,Tlaxcala,1386.566063,1280.473392,479.6365733,64079.41106,18052.55343,6787.374955,104.6495172
30,Veracruz de Ignacio de la Llave,6713.731505,6188.918358,2164.225105,244879.2525,72805.49283,25440.03828,448.9458727
31,Yucatán,1236.092097,1131.848168,669.5868269,112897.5328,19370.67303,11149.79313,207.4992206
32,Zacatecas,2503.817631,2331.339951,673.2475575,72152.98992,26527.8166,6862.615899,95.14414871
Notas:,,,,,,,,
Cantidades en toneladas.,,,,,,,,
"* Si se muestran ""blancos"" en la posicion de cifras, representan valores no reportados o nulos.",,,,,,,,
