NOM_ENT,PM10,PM2.5,SO2,CO,NOX,COV,NH3
Aguascalientes,0,0,0,0,7305.796529,16418.08659,0
Baja California,0,0,0,0,19178.02737,30662.74864,0
Baja California Sur,0,0,0,0,17606.15064,70891.49901,0
Campeche,0,0,0,0,61836.75456,1355958.557,0
Coahuila de Zaragoza,0,0,0,0,48588.72366,98409.32808,0
Colima,0,0,0,0,11659.37282,56738.57657,0
Chiapas,0,0,0,0,118792.628,1260184.474,0
Chihuahua,0,0,0,0,70862.07807,210887.1223,0
Distrito Federal,0,0,0,0,871.996812,3036.295303,0
Durango,0,0,0,0,45968.12614,170352.971,0
Guanajuato,0,0,0,0,37772.90375,80369.39956,0
Guerrero,0,0,0,0,75125.65159,657292.0794,0
Hidalgo,0,0,0,0,24684.61482,110174.2992,0
Jalisco,0,0,0,0,85757.86448,342958.8981,0
Mexico,0,0,0,0,1878.703827,7914.971079,0
Michoacán de Ocampo,0,0,0,0,66104.65461,302400.7449,0
Morelos,0,0,0,0,8359.654705,29955.69366,0
Nayarit,0,0,0,0,28818.43472,245798.7336,0
Nuevo Leon,0,0,0,0,68737.73308,146333.5112,0
Oaxaca,0,0,0,0,98260.37819,1013324.759,0
Puebla,0,0,0,0,35860.16237,111085.5129,0
Queretaro Arteaga,0,0,0,0,8948.934904,23478.0395,0
Quintana Roo,0,0,0,0,36640.73606,940412.0737,0
San Luis Potosi,0,0,0,0,56585.91004,191839.0645,0
Sinaloa,0,0,0,0,87445.92494,434805.178,0
Sonora,0,0,0,0,99415.30121,612132.4881,0
Tabasco,0,0,0,0,62857.57385,276542.9742,0
Tamaulipas,0,0,0,0,127559.6631,367524.4239,0
Tlaxcala,0,0,0,0,5313.477553,7780.10634,0
Veracruz de Ignacio de la Llave,0,0,0,0,185347.6153,768947.0587,0
Yucatán,0,0,0,0,50087.88276,496055.6246,0
Zacatecas,0,0,0,0,23384.1638,49367.21182,0
Notas:,,,,,,,
Cantidades en toneladas.,,,,,,,
"* Las cifras que se muestran como "".00"" representan cantidades menores a centecimas.  Si se muestran ""blancos"" en la posicion de cifras, representan valores no reportados o nulos.",,,,,,,
