ESTADO,PM10,PM2.5,SO2,CO,NOX,COV,NH3
Aguascalientes,0,0,0,0,7264.508598,16325.30152,0
Baja California,0,0,0,0,19260.43811,30794.51087,0
Baja California Sur,0,0,0,0,17595.78485,70849.76095,0
Campeche,0,0,0,0,61193.3913,1341850.865,0
Coahuila de Zaragoza,0,0,0,0,48538.22392,98307.04827,0
Colima,0,0,0,0,11650.36408,56694.73693,0
Chiapas,0,0,0,0,114543.3585,1215107.069,0
Chihuahua,0,0,0,0,70928.70723,211085.4122,0
Distrito Federal,0,0,0,0,914.4778972,3184.214558,0
Durango,0,0,0,0,46113.5198,170891.7844,0
Guanajuato,0,0,0,0,37716.11271,80248.56528,0
Guerrero,0,0,0,0,75148.55226,657492.4427,0
Hidalgo,0,0,0,0,24791.99391,110653.562,0
Jalisco,0,0,0,0,85113.73288,340382.9167,0
Mexico,0,0,0,0,1885.176119,7942.238817,0
Michoacan de Ocampo,0,0,0,0,65428.14545,299306.0025,0
Morelos,0,0,0,0,8310.744843,29780.43178,0
Nayarit,0,0,0,0,28399.03136,242221.5506,0
Nuevo Leon,0,0,0,0,66538.16952,141650.9323,0
Oaxaca,0,0,0,0,99633.08046,1027480.955,0
Puebla,0,0,0,0,35639.1265,110400.8009,0
Queretaro,0,0,0,0,8950.337945,23481.72045,0
Quintana Roo,0,0,0,0,36108.33801,926747.6771,0
San Luis Potosi,0,0,0,0,54899.92661,186123.1984,0
Sinaloa,0,0,0,0,86100.95976,428117.6413,0
Sonora,0,0,0,0,98490.19056,606436.2796,0
Tabasco,0,0,0,0,63533.26302,279515.6803,0
Tamaulipas,0,0,0,0,124385.5275,358379.1163,0
Tlaxcala,0,0,0,0,5266.384062,7711.151054,0
Veracruz de Ignacio de la Llave,0,0,0,0,183326.1071,760560.4779,0
Yucatan,0,0,0,0,50029.78505,495480.242,0
Zacatecas,0,0,0,0,22367.17018,47220.19728,0
Notas:,,,,,,,
Cantidades en toneladas.,,,,,,,
"* Si se muestran ""blancos"" en la posicion de cifras, representan valores no reportados o nulos.",,,,,,,
