CVE edo,Estado,  PM10,  PM2.5,  SO2,  CO,  NOX,  COV,  NH3
01,Aguascalientes,0,0,0,0,6365.4479,26273.58754,0
02,Baja California,0,0,0,0,783.8328322,5629.723969,0
03,Baja California Sur,0,0,0,0,434.7348663,5310.022469,0
04,Campeche,0,0,0,0,1366.608485,50770.68645,0
05,Coahuila de Zaragoza,0,0,0,0,6976.481657,28173.6606,0
06,Colima,0,0,0,0,5428.598616,83536.96258,0
07,Chiapas,0,0,0,0,114346.9887,1213023.925,0
08,Chihuahua,0,0,0,0,13629.93137,68635.30369,0
09,Ciudad de México,0,0,0,0,101.0990077,8734.232521,0
10,Durango,0,0,0,0,8499.365064,36589.54796,0
11,Guanajuato,0,0,0,0,28913.16305,141202.4958,0
12,Guerrero,0,0,0,0,74773.99656,654215.3664,0
13,Hidalgo,0,0,0,0,39001.79859,203097.0939,0
14,Jalisco,0,0,0,0,58858.54261,515887.7115,0
15,México,0,0,0,0,55860.74934,225073.4619,0
16,Michoacán de Ocampo,0,0,0,0,58562.7265,502479.4551,0
17,Morelos,0,0,0,0,22350.63501,156394.2526,0
18,Nayarit,0,0,0,0,7973.015909,107034.1975,0
19,Nuevo León,0,0,0,0,11204.87739,46272.30859,0
20,Oaxaca,0,0,0,0,158651.5236,2034064.795,0
21,Puebla,0,0,0,0,119582.047,768355.4869,0
22,Querétaro,0,0,0,0,7852.842173,43695.99599,0
23,Quintana Roo,0,0,0,0,1477.947846,125983.0266,0
24,San Luis Potosí,0,0,0,0,23157.38089,144548.2509,0
25,Sinaloa,0,0,0,0,405.0129045,428058.1955,0
26,Sonora,0,0,0,0,11607.59937,107783.884,0
27,Tabasco,0,0,0,0,63029.79298,277300.6552,0
28,Tamaulipas,0,0,0,0,20282.44099,124825.9193,0
29,Tlaxcala,0,0,0,0,21926.5369,66623.20465,0
30,Veracruz de Ignacio de la Llave,0,0,0,0,133828.2407,945416.3689,0
31,Yucatán,0,0,0,0,49709.19147,492305.1777,0
32,Zacatecas,0,0,0,0,26020.75479,152106.9221,0
,Notas:,,,,,,,
,Cantidades en toneladas.,,,,,,,
,"* Si se muestran ""blancos"" en la posicion de cifras, representan valores no reportados o nulos.",,,,,,,
