NOM_ENT,PM10,PM2.5,SO2,CO,NOX,COV,NH3
Aguascalientes,4334.99018,2205.10266,2434.805403,49994.02285,20994.43968,41183.87615,10032.64257
Baja California,11089.73932,6527.618321,10030.44276,3602906.751,302408.3641,394083.2541,19806.81335
Baja California Sur,2713.331189,1530.910939,24680.36545,40299.74385,31817.21449,85258.74982,3763.691335
Campeche,12320.78373,10285.75772,576247.8335,104483.4366,129510.1381,1398757.319,8844.238796
Coahuila de Zaragoza,28405.22019,21476.50276,192478.2853,1624166.487,307967.9174,287250.6946,23542.37565
Colima,11595.46038,7042.879901,168482.3255,246451.5443,51188.23814,94139.38477,4611.792666
Chiapas,46842.58236,40971.39388,55901.97854,388756.1288,152203.1931,1546952.227,35413.97344
Chihuahua,30686.97424,17007.17792,36452.61307,252202.7469,151717.945,322148.6012,35615.6738
Distrito Federal,4460.191971,2983.403653,3055.428469,1092179.226,156834.2999,264464.7848,18798.62612
Durango,19264.89206,12594.97739,28878.47565,424513.7321,107536.9429,250767.3815,30420.2656
Guanajuato,28327.48164,16366.93251,50778.72796,1241249.511,140646.2193,295320.6658,42745.52082
Guerrero,32677.80493,28464.73248,105526.7718,873029.209,147802.8146,888789.6844,31806.42783
Hidalgo,29200.16164,22030.80156,217632.3658,285605.6477,81782.42457,226107.8918,24857.88774
Jalisco,37669.54448,23576.32509,28888.25657,4371967.52,323005.8021,922827.1733,82302.93788
Mexico,35854.63681,27889.49329,10612.11613,3359519.795,255335.7103,577418.9208,46869.85103
Michoacan de Ocampo,32198.97488,23065.67604,16993.01184,4452127.242,278409.6911,727440.86,38701.77969
Morelos,8406.567776,5887.671787,10746.66283,563577.6641,49854.19091,110288.2261,7519.676038
Nayarit,11399.67526,7760.89869,1120.400744,662267.621,73522.23126,322431.1017,13266.3901
Nuevo Leon,21257.82214,13715.20174,38628.21671,3050564.866,365067.0282,509591.3742,22947.89495
Oaxaca,48244.45816,39440.61679,112658.0908,452220.1247,128298.8033,1257590.373,38678.00374
Puebla,37699.47343,30661.25638,6490.576462,996209.5704,234203.538,417454.5039,56931.70777
Queretaro Arteaga,6668.688717,5045.384302,5162.660681,127701.4378,34849.78397,82746.37893,15174.47382
Quintana Roo,11421.78059,8846.635844,2752.424796,135070.6431,47291.62803,988380.3425,4613.588986
San Luis Potosi,34268.70795,24480.327,87417.8277,208461.8909,104108.8577,310102.9107,22333.48756
Sinaloa,31171.66141,17345.89976,109312.5136,257736.2278,148699.757,526504.4599,28148.0177
Sonora,21829.69547,11736.01992,76632.9662,189574.7606,147018.1797,686646.7844,37703.6488
Tabasco,17763.91908,14917.54803,15104.43035,171832.0963,103592.592,382789.472,14083.57054
Tamaulipas,35885.32553,19146.54023,54087.5966,302921.645,216818.7431,480924.021,21119.10008
Tlaxcala,5764.428632,3607.000131,1825.568333,47880.53246,14835.40559,40223.29922,8935.527849
Veracruz de Ignacio de la Llave,106438.4704,82177.35312,167448.5433,2266965.139,403276.6526,1318085.16,74419.26115
Yucatan,15567.09683,13906.73232,20405.97989,162905.1087,74064.75251,608041.7147,14383.77252
Zacatecas,17566.97789,8344.207869,2345.466219,1030762.129,102778.0751,153381.1684,25512.89668
Notas:,,,,,,,
Cantidades en toneladas.,,,,,,,
"* Las cifras que se muestran como "".00"" representan cantidades menores a centecimas.  Si se muestran ""blancos"" en la posicion de cifras, representan valores no reportados o nulos.",,,,,,,
