Año,Cve. Edo.,Entidad Fed.,Municipio,Municipio o Deleg.,PM10,PM2.5,SO2,CO,NOX,COV,NH3
2005,1,AGUASCALIENTES,1001,Aguascalientes,"1,989.63","1,232.39","2,955.66","487,747.54","17,847.57","51,355.16","3,785.86"
2005,1,AGUASCALIENTES,1002,Asientos,356.04,236.18,13.88,"13,329.82","1,606.49","3,847.42","2,240.95"
2005,1,AGUASCALIENTES,1003,Calvillo,302.59,258.75,104.15,"38,162.29","1,820.58","11,201.49",219.45
2005,1,AGUASCALIENTES,1004,Cosío,117.07,79.85,25.49,"5,367.51",486.46,"1,160.01",234.06
2005,1,AGUASCALIENTES,1005,Jesús María,768.54,607.07,848.82,"39,034.50","2,010.53","7,092.35",701.37
2005,1,AGUASCALIENTES,1006,Pabellón de Arteaga,257.42,203.33,57.95,"17,232.99",979.02,"3,244.71","2,242.53"
2005,1,AGUASCALIENTES,1007,Rincón de Romos,317.89,245.18,95.5,"22,002.98","1,321.97","3,571.56","2,573.15"
2005,1,AGUASCALIENTES,1008,San José de Gracia,74.11,50.24,11.92,"3,990.63",547.98,"2,452.04",106.54
2005,1,AGUASCALIENTES,1009,Tepezalá,654.77,442.08,"1,443.18","7,657.01","1,370.05","1,615.40",845.04
2005,1,AGUASCALIENTES,1010,El Llano,252.86,136.62,114.35,"8,874.06","1,368.58","2,979.86","6,828.99"
2005,1,AGUASCALIENTES,1011,San Francisco de los Romo,280.18,206.76,329.24,"13,684.70",878.56,"2,532.46","1,363.29"
2005,2,BAJA CALIFORNIA,2001,Ensenada,"4,088.15","3,281.34","3,874.68","597,766.52","39,329.78","78,358.93","2,889.00"
2005,2,BAJA CALIFORNIA,2002,Mexicali,"4,860.40","3,228.86","8,263.62","946,983.77","58,923.93","102,827.13","6,001.90"
2005,2,BAJA CALIFORNIA,2003,Tecate,"2,318.21","1,912.12","2,252.75","236,635.54","8,767.89","17,838.60",635.59
2005,2,BAJA CALIFORNIA,2004,Tijuana,"2,177.60","1,659.76","11,319.25","1,583,088.43","63,818.89","149,786.64","4,252.07"
2005,2,BAJA CALIFORNIA,2005,Playas de Rosarito,"1,737.88","1,499.40","7,332.01","159,404.13","10,699.18","13,724.26",477.08
2005,3,BAJA CALIFORNIA SUR,3001,Comondú,"2,831.67","2,100.20","7,766.48","40,115.19","23,859.42","21,477.84","1,308.81"
2005,3,BAJA CALIFORNIA SUR,3002,Mulegé,476.6,414.85,"1,260.70","32,140.93","7,287.40","17,230.54",502.14
2005,3,BAJA CALIFORNIA SUR,3003,La Paz,"2,814.56","1,887.54","13,741.75","183,603.70","14,040.98","49,873.32",828.47
2005,3,BAJA CALIFORNIA SUR,3008,Los Cabos,908.45,855.16,421.92,"98,654.30","6,938.81","32,807.92",742
2005,3,BAJA CALIFORNIA SUR,3009,Loreto,67.71,61.12,46.68,"7,171.31",982.93,"1,401.35",134.73
2005,4,CAMPECHE,4001,Calkiní,304.57,252.36,214.6,"9,219.98","1,243.58","52,012.39",528
2005,4,CAMPECHE,4002,Campeche,"2,392.00","1,829.27","17,991.99","71,425.86","10,973.61","107,998.96","2,197.06"
2005,4,CAMPECHE,4003,Carmen,"2,243.97","1,978.08","709,074.21","52,585.04","63,131.42","143,981.85","2,155.57"
2005,4,CAMPECHE,4004,Champotón,"1,597.23","1,220.27",586.75,"22,724.59","7,209.83","217,512.51","1,332.14"
2005,4,CAMPECHE,4005,Hecelchakán,218.07,156.65,59.85,"5,405.36","1,341.66","35,720.86",303.44
2005,4,CAMPECHE,4006,Hopelchén,484.92,268.56,26.14,"11,330.67","3,708.16","277,228.78","1,000.06"
2005,4,CAMPECHE,4007,Palizada,426.91,357.13,11.55,"2,871.01","5,016.55","34,840.09",778.46
2005,4,CAMPECHE,4008,Tenabo,91.15,59.37,45.39,"2,501.50","1,043.77","30,114.77",128.54
2005,4,CAMPECHE,4009,Escárcega,752.09,537.62,84.39,"23,713.36","4,883.73","152,499.52","1,482.29"
2005,4,CAMPECHE,4010,Calakmul,410.3,303.47,25.22,"6,863.09","6,874.69","564,101.30",487.94
2005,4,CAMPECHE,4011,Candelaria,515.23,368.81,38.54,"14,827.42","6,761.05","146,947.49","1,150.24"
2005,5,COAHUILA,5001,Abasolo,35.9,12.86,2.71,352.64,308.03,474.59,61.36
2005,5,COAHUILA,5002,Acuña,893.39,793.33,"2,111.25","33,730.31","4,108.48","11,732.49",610.45
2005,5,COAHUILA,5003,Allende,166.69,111.79,120.62,"6,872.04",432.86,"1,641.08",130.68
2005,5,COAHUILA,5004,Arteaga,291.55,160.74,107.23,"7,027.23","1,648.16","6,029.98",368.09
2005,5,COAHUILA,5005,Candela,75.91,31.69,5,"1,171.33",713.97,"1,260.54",115.36
2005,5,COAHUILA,5006,Castaños,167.3,71.71,164.13,"6,982.32","2,316.34","4,772.92",361.26
2005,5,COAHUILA,5007,Cuatro Ciénegas,138.28,84.81,59.15,"4,653.46","2,615.09","3,769.37",200.07
2005,5,COAHUILA,5008,Escobedo,35.75,20.13,1.39,727.3,493.01,791.32,148.79
2005,5,COAHUILA,5009,Francisco I. Madero,399.85,280.06,145.65,"11,639.30","2,210.75","5,372.08",903.87
2005,5,COAHUILA,5010,Frontera,370.57,279.75,674.15,"13,929.49","1,480.18","3,553.80",234.59
2005,5,COAHUILA,5011,General Cepeda,155.54,78.39,8.07,"2,167.76","2,282.86","4,975.34",549.56
2005,5,COAHUILA,5012,Guerrero,80.73,24.78,6.63,817.89,"1,713.10","3,207.45",179.66
2005,5,COAHUILA,5013,Hidalgo,376.76,89.21,0.55,562.06,871.17,"1,637.32",328.05
2005,5,COAHUILA,5014,Jiménez,93.6,58.25,12.75,"2,938.74","1,433.78","2,917.91",272.1
2005,5,COAHUILA,5015,Juárez,89.86,25.3,0.55,607.56,"1,157.91","2,035.83",96.62
2005,5,COAHUILA,5016,Lamadrid,22.42,13.9,1,550.37,208.46,537.91,25.5
2005,5,COAHUILA,5017,Matamoros,518.72,363.29,121.42,"20,801.31","2,656.80","7,733.07","1,487.58"
2005,5,COAHUILA,5018,Monclova,"12,976.97","10,980.43","4,434.37","50,841.48","5,734.60","9,493.34",605.99
2005,5,COAHUILA,5019,Morelos,97.93,49.85,72.24,"2,936.44",586.72,"1,499.97",89.94
2005,5,COAHUILA,5020,Múzquiz,472.48,362.64,210.68,"17,416.46","2,743.75","10,809.37",584.63
2005,5,COAHUILA,5021,Nadadores,65.72,36.22,4.3,"1,484.55",563.87,"1,175.10",131.06
2005,5,COAHUILA,5022,Nava,"6,542.19","2,861.62","219,177.94","7,898.69","107,348.63","4,163.01","11,116.44"
2005,5,COAHUILA,5023,Ocampo,462.27,387.33,"6,152.50","1,960.08","4,174.44","6,899.27",227.15
2005,5,COAHUILA,5024,Parras,431.69,275.76,203.58,"11,627.32","1,365.07","2,964.52",603.91
2005,5,COAHUILA,5025,Piedras Negras,349.09,195.79,"1,124.94","37,860.49","5,516.04","13,339.16",437.01
2005,5,COAHUILA,5026,Progreso,103.86,37.95,2.01,"1,212.46","1,220.32","2,123.09",125.37
2005,5,COAHUILA,5027,Ramos Arizpe,"1,098.79",713.49,"4,117.49","18,016.22","7,107.15","8,938.89","1,205.55"
2005,5,COAHUILA,5028,Sabinas,378.61,306.57,385.09,"15,089.45","1,295.03","3,684.09",335.9
2005,5,COAHUILA,5029,Sacramento,23.17,12.92,3.19,516.58,216.65,448.16,46.14
2005,5,COAHUILA,5030,Saltillo,"1,611.65",871.93,"6,168.83","180,019.64","11,466.33","35,137.52","2,525.45"
2005,5,COAHUILA,5031,San Buenaventura,141.95,111.06,84.85,"4,673.12","1,612.01","3,351.63",317.27
2005,5,COAHUILA,5032,San Juan de Sabinas,266.22,223.86,576.32,"12,052.37",906.02,"2,868.74",225.21
2005,5,COAHUILA,5033,San Pedro,792.8,533.59,354.63,"19,388.41","4,878.99","9,878.06","1,192.17"
2005,5,COAHUILA,5034,Sierra Mojada,53.62,39.22,6.4,842.47,"1,443.96","1,052.09",213.08
2005,5,COAHUILA,5035,Torreón,"2,034.88","1,591.53","7,111.81","109,903.43","7,529.61","22,227.17","2,369.92"
2005,5,COAHUILA,5036,Viesca,153.95,105.25,13.06,"4,093.27","2,107.78","4,049.76",751.72
2005,5,COAHUILA,5037,Villa Unión,105.7,47.05,2.8,"2,312.60","1,076.41","2,003.39",224.57
2005,5,COAHUILA,5038,Zaragoza,261.15,162.74,65.99,"6,280.81","2,380.90","7,362.25",421.97
2005,6,COLIMA,6001,Armería,142.9,67.13,49.86,"18,634.54","1,635.87","9,420.28",244.6
2005,6,COLIMA,6002,Colima,792.32,296.84,350.28,"85,783.86","4,938.52","20,537.34",923.95
2005,6,COLIMA,6003,Comala,146.69,88.15,21.96,"14,516.87","1,059.35","5,382.57",308.84
