CVEGEO,$CO$,$HCHO$,$NO_2$,$O_3$,$SO_2$,NOM_ENT,NOM_MUN,NOM_LOC,POB_TOTAL,GM_2020
0600200010021,7.538192019996298,0.0526843493045655,0.023191054794088874,41.378637434335715,0.02071470331959161,Colima,Colima,Colima,1637,2
0600200010290,5.483005026903282,0.0382723419292046,0.017147058418208325,30.207803984551123,0.014378916816357069,Colima,Colima,Colima,2302,1
0600200010318,3.0225694066530977,0.020877238657406018,0.009552737493079506,16.584309166130318,0.007863773555466013,Colima,Colima,Colima,1959,2
0600200010322,3.1362480734342006,0.021822366819392182,0.009878966121516154,17.287212924778622,0.008218078625139956,Colima,Colima,Colima,2143,1
0600200010337,3.209967116367266,0.022319383971524,0.009965824200244208,17.647128755803156,0.008404283968778334,Colima,Colima,Colima,1335,1
0600200010341,4.400411012301108,0.030477110782495823,0.013613648325857129,24.11699817154518,0.011091906303313762,Colima,Colima,Colima,2333,2
0600200010356,3.4280295124640614,0.023897676242534735,0.010581562507318324,18.86923262176022,0.009319595695965239,Colima,Colima,Colima,1596,1
0600200010394,6.486877617146638,0.04547856937683225,0.01919401829171015,35.767288568395195,0.01907008051383765,Colima,Colima,Colima,2282,2
0600200010407,2.3988242789612975,0.016809657959854077,0.007041441868906649,13.26643493496874,0.006708233952672073,Colima,Colima,Colima,1037,3
0600200010411,3.633001847462098,0.0254590506159036,0.011644926443270434,20.081885420926298,0.01052505182636005,Colima,Colima,Colima,1140,1
0600200010464,10.343553031594652,0.0742455385611218,0.030190220643016123,57.32607701829431,0.02798787728026758,Colima,Colima,Colima,90,3
0600200010479,6.5621785321973745,0.04698447707052152,0.0190758620608975,36.185680203336744,0.01706569320824381,Colima,Colima,Colima,105,2
0600200010483,15.744536090237855,0.10909574867800124,0.0464639038722022,85.93924371280937,0.039744857107018076,Colima,Colima,Colima,742,3
060020001052A,1.5731151442298337,0.010796612374393921,0.004688477881300118,8.729587438033047,0.004540713692596099,Colima,Colima,Colima,1444,2
0600200010534,1.5859137881119294,0.011142216795362741,0.004741210807286818,8.721496254121137,0.004716413710104646,Colima,Colima,Colima,893,2
0600200010549,2.2472434429697574,0.015553869394056329,0.006734455613944662,12.388697571595277,0.006659340193835503,Colima,Colima,Colima,1675,2
0600200010568,1.6114939244866557,0.011296694420537837,0.004767812908258944,8.901514622623026,0.004501433910157513,Colima,Colima,Colima,892,2
0600200010572,2.0925063473055667,0.01475983859110832,0.006242917766566213,11.512305427926403,0.006198382170874627,Colima,Colima,Colima,1448,2
0600200010619,5.346400426579922,0.03740951823728118,0.01655446146254395,29.321580493696167,0.014435876288465488,Colima,Colima,Colima,406,1
0600200010623,3.534525240844745,0.024813920807272724,0.010432727103978834,19.544770822032305,0.01051104717545983,Colima,Colima,Colima,115,5
0600200010638,4.275501471011578,0.029863993865508573,0.012512160012948994,23.09058096474035,0.01019617406808568,Colima,Colima,Colima,468,3
0600200010676,3.354257838725602,0.02309031833583386,0.010568521366548188,18.332689973542756,0.00850887402165159,Colima,Colima,Colima,2119,2
0600200010680,2.5908300646543228,0.017821647856885843,0.008148790872679067,14.142832780676732,0.00645628468732429,Colima,Colima,Colima,1467,1
0600200010708,2.784981894957229,0.01905945537965623,0.008681077573695784,15.200287023311024,0.006770517077231481,Colima,Colima,Colima,1086,1
0600200010712,3.6521058472395187,0.024988228985267622,0.011295790458053581,19.927103824574345,0.008668536101424129,Colima,Colima,Colima,2482,2
0600200010727,5.761634235016649,0.03955999863644717,0.017883935109017274,31.275878904551966,0.013078462636101393,Colima,Colima,Colima,4397,2
0600200010731,3.0364921228647397,0.02081901763159115,0.009288847256571626,16.434979995126458,0.006414647231172212,Colima,Colima,Colima,2350,1
0600200010746,3.7962350658082658,0.025901231072762983,0.011646654511148545,20.620600623133996,0.008848955006596264,Colima,Colima,Colima,942,1
0600200010750,4.720049651658702,0.0323485275154283,0.014218424890700068,25.502671206154446,0.010994509741620438,Colima,Colima,Colima,2272,2
0600200010765,3.8108826683371855,0.02603541342813613,0.011443563000434715,20.597186657823833,0.00934914165083288,Colima,Colima,Colima,1288,2
060020001077A,3.9611481165179763,0.027201980347301324,0.011970870095004436,21.470629390634343,0.009889991352100677,Colima,Colima,Colima,2103,3
0600200010784,2.514607443331749,0.017146730444968318,0.00750606797239925,13.786383190372703,0.007173293217125858,Colima,Colima,Colima,1444,2
0600200010799,3.803926892198798,0.026132488092611688,0.011411586005441274,20.769006290338694,0.010259537101625723,Colima,Colima,Colima,1341,1
0600200010801,4.845451000710674,0.0334058002518057,0.01451370238234194,26.367597281386427,0.011962461274903696,Colima,Colima,Colima,1727,2
0600200010816,2.14676931515256,0.014881578079171169,0.006421251118085652,11.698804922756663,0.0051948479620643265,Colima,Colima,Colima,1445,3
0600200010820,2.5261986163440664,0.01765323241943492,0.007993645304809786,13.966667531771096,0.006669550234541306,Colima,Colima,Colima,873,1
0600200010835,3.6293783605541416,0.02534831584948632,0.011536173659950928,20.073165934213364,0.009822223817278725,Colima,Colima,Colima,1466,1
060020001084A,2.987766613068446,0.020795831744544326,0.009037313686700764,16.400818487744907,0.008830407904937944,Colima,Colima,Colima,1540,2
0600200010854,2.50834971346039,0.017409565619626113,0.0075522662057435795,13.780485443011871,0.007539314462523502,Colima,Colima,Colima,1995,2
0600200010869,1.2668321408935217,0.00882880815750333,0.003883018507475168,6.983840993386569,0.0035915491956111647,Colima,Colima,Colima,1811,1
0600200010873,2.1874877662590397,0.015247178487229581,0.006669951201279144,12.042933328147074,0.0063236100957935965,Colima,Colima,Colima,1397,2
0600200010888,3.671427269197357,0.025487543896734025,0.01117321352579591,20.073556783828458,0.00981290663307051,Colima,Colima,Colima,2456,2
0600200010892,2.465723259907947,0.01717279592615144,0.007508091631908685,13.609879448109549,0.007236417598296778,Colima,Colima,Colima,2657,2
060020001091A,6.01286897229675,0.04195636586301545,0.01894900736982925,33.16852472463543,0.016003999561776266,Colima,Colima,Colima,732,1
0600200010924,4.231541477237156,0.029507331295815748,0.01350654545289758,23.38629442594239,0.012266804712526466,Colima,Colima,Colima,611,1
0600200010939,2.431239607433545,0.016877170014438603,0.007365098408216861,13.262556368090234,0.0064868425651659,Colima,Colima,Colima,1269,2
0600200010943,4.773834177184448,0.033004940030629475,0.014402639205888055,26.35583131930689,0.013954837257966006,Colima,Colima,Colima,1245,3
0600200010958,2.1870528717536657,0.015137559305396751,0.006567159601986441,12.038272584418445,0.006526631087801565,Colima,Colima,Colima,1692,2
0600200010962,3.530400437055294,0.024361688951791156,0.01060592769073971,19.553655364275414,0.010415322082585063,Colima,Colima,Colima,1097,2
0600200010977,1.7178434224086188,0.012316254388740918,0.005208048088842134,9.42519835818152,0.004748850132388143,Colima,Colima,Colima,1725,2
0600200010981,1.042809578030882,0.0072599152114938455,0.003327149785394716,5.758808431815351,0.0030308316930477606,Colima,Colima,Colima,236,2
0600200010996,0.8810397168496469,0.006050868508331754,0.002624847180886979,4.8885585798065385,0.002538110409431154,Colima,Colima,Colima,1302,2
0600200011000,0.8809444807687066,0.006046102929660755,0.0026255476135280662,4.888568965298506,0.0025427996678538596,Colima,Colima,Colima,1505,2
0600200011015,1.8248779603841716,0.012525721250389773,0.00543961358419918,10.126389120679747,0.005272477797313345,Colima,Colima,Colima,1753,3
060020001102A,1.7951864671326012,0.012355188645452356,0.005372773178576857,9.953658917357924,0.0053260361557625115,Colima,Colima,Colima,3325,2
0600200011053,3.5097209927446733,0.024323371299771725,0.011200114602043242,19.370783532040974,0.01020417954104349,Colima,Colima,Colima,311,1
0600200011068,6.117556791248666,0.0424126011832437,0.01969408763393225,33.8795904524552,0.018205467386943834,Colima,Colima,Colima,1974,1
0600200011072,3.050390792664607,0.021439537570264244,0.009825781411470155,16.93273596290329,0.009196197645368451,Colima,Colima,Colima,1892,1
0600200011087,1.1769368624217604,0.008451980289526163,0.003561611624701788,6.458044294824201,0.0032547095144055587,Colima,Colima,Colima,813,2
0600200011091,3.109380639189477,0.022162103476609952,0.009353490587936917,17.101971958058996,0.008836456530422572,Colima,Colima,Colima,1749,2
0600200011123,2.0053981433191077,0.013900610236845643,0.005996886749750618,10.834301166660891,0.004527770750098991,Colima,Colima,Colima,2248,3
0600200011142,3.6796882352498828,0.025645496430783055,0.010935572439612976,19.912435898666928,0.007659720911377223,Colima,Colima,Colima,2040,2
0600200011157,1.813701122621843,0.012867216277072222,0.005514674932003115,9.949421900559738,0.005089269137245318,Colima,Colima,Colima,1049,2
0600200011161,2.068705347297487,0.014593515393661443,0.006315305630088257,11.345885423247267,0.005822891201506386,Colima,Colima,Colima,331,3
0600200011176,5.969774150497349,0.04146793106410063,0.0178923875826885,32.16889293626248,0.012634924588959508,Colima,Colima,Colima,2717,1
0600200011195,1.0040496929653835,0.006892701714128466,0.002953340508088358,5.587285050964515,0.0028340746059320786,Colima,Colima,Colima,1523,2
0600200011208,1.0040496929653835,0.006892701714128466,0.002953340508088358,5.587285050964515,0.0028340746059320786,Colima,Colima,Colima,1643,3
0600200011212,0.5669764461328172,0.003930765071801846,0.001683024352218671,3.1433269632000647,0.0016471647504816165,Colima,Colima,Colima,621,1
0600200011227,4.078334992564009,0.027851680920485605,0.01306459293200443,22.521205895765544,0.011949422141169909,Colima,Colima,Colima,1410,1
0600200011231,0.8471669284395422,0.005815717071295895,0.002491881053699552,4.714271761751309,0.002391250448755191,Colima,Colima,Colima,1016,3
0600200011246,1.3611967831653575,0.009568558124136421,0.0040489893839798065,7.5024445970798626,0.003946450158731928,Colima,Colima,Colima,928,2
0600200011250,1.6075297656235803,0.011160277560682866,0.004760534027052424,8.903857236542724,0.004486160955344186,Colima,Colima,Colima,1576,2
0600200011265,3.384392642203623,0.023145191624092627,0.010418329436107328,18.357540278430058,0.0073882792069591054,Colima,Colima,Colima,1935,2
060020001127A,3.97336573590771,0.02722344909167847,0.012094210062037692,21.503008205193527,0.008673128562430198,Colima,Colima,Colima,1258,2
0600200011284,0.9862693629274116,0.00703208110332717,0.0029930105010870386,5.410968356707514,0.0027511085910392947,Colima,Colima,Colima,1040,2
0600200011299,1.5540497534859308,0.010982051892656884,0.004643244045913752,8.547578973774025,0.00457208039063792,Colima,Colima,Colima,1603,2
0600200011301,6.62704913382932,0.04476894372570015,0.02107047814632175,36.47173829588911,0.019210205449804924,Colima,Colima,Colima,601,1
0600200011316,8.030574958037212,0.05564367804816822,0.0239704711413174,43.541301856353066,0.01721392119599883,Colima,Colima,Colima,1110,2
0600200011320,9.680741096402976,0.0673030262064969,0.028546932109327426,52.288045531462146,0.02195299694027287,Colima,Colima,Colima,1520,2
0600200011335,1.3856732184137583,0.00961840480481687,0.004101576257573884,7.683498924303562,0.003986477802343259,Colima,Colima,Colima,1687,2
060020001134A,0.31376552905168187,0.0021539692856651464,0.0009229189087776119,1.7460265784264104,0.0008856483143537745,Colima,Colima,Colima,581,2
0600200011354,1.8138520726347873,0.012356428337598403,0.005410007722694755,9.947148969959645,0.005192229142409067,Colima,Colima,Colima,1904,2
0600200011369,1.395581977524562,0.009537991073057734,0.004167000985630152,7.680099893715794,0.004040901411455215,Colima,Colima,Colima,1323,2
0600200011373,1.890613202462548,0.013089193059971986,0.005619954044346257,10.477630225243017,0.005495036320352957,Colima,Colima,Colima,570,2
0600200011388,3.5897107653299845,0.024878318488402464,0.011112123065288254,19.71334252673792,0.011098624197686566,Colima,Colima,Colima,90,1
0600200011392,0.472543252204011,0.00329990968665589,0.0013911529084582614,2.619494346379602,0.001343686122093242,Colima,Colima,Colima,250,2
0600200011405,4.616719291044431,0.031735852303814927,0.014496555685354125,25.29768071751996,0.013428472366998647,Colima,Colima,Colima,395,1
060020001141A,3.7356037424134283,0.025759029006485485,0.011081592338633716,20.428318248260666,0.009930212616343956,Colima,Colima,Colima,841,1
0600200011424,5.551569768319795,0.0386385594946855,0.016374485336752176,30.56162177955032,0.014932050102764912,Colima,Colima,Colima,1568,2
0600200011439,2.322009107020934,0.016146129095914157,0.00690786048079472,12.575144144731459,0.004883749382385504,Colima,Colima,Colima,2580,3
0600200011458,1.8435258368330103,0.01276592919732496,0.0055167244339982624,9.960600321769533,0.004202288021664565,Colima,Colima,Colima,2076,2
0600200011462,2.9343737186026546,0.020230985165280487,0.008811752797847527,15.897699230137135,0.006781749618919041,Colima,Colima,Colima,1156,1
0600200011477,0.7957046494493129,0.005650868877008854,0.0024379867509443476,4.363369084566955,0.0021951477593480733,Colima,Colima,Colima,222,4
0600200011481,3.258847478165787,0.02174416618358345,0.010441353551834497,18.16732965519504,0.009545091686634926,Colima,Colima,Colima,601,1
0600200011496,0.34914843351490865,0.002402549010591596,0.0010832357684738311,1.918709011268396,0.0011208886298219845,Colima,Colima,Colima,56,2
0600200011513,5.240251739607758,0.036113181128926725,0.0158288274339915,28.31741501142336,0.0119033554743243,Colima,Colima,Colima,708,1
0600200011528,1.7798723755519403,0.012287685103913003,0.005344184631152721,9.612571090181271,0.004181423351423423,Colima,Colima,Colima,1616,1
0600200011532,2.5232389606630683,0.01783089575275711,0.007669358130681602,13.962038639993672,0.007087765460006403,Colima,Colima,Colima,738,1
0600200011551,0.15751441740133656,0.0010999698955519634,0.00046371763615275384,0.8731647821265336,0.00044789537403108065,Colima,Colima,Colima,197,2
0600200011566,1.2305621054099065,0.00861151824234193,0.003624303598465928,6.808817722733044,0.0033741560400246252,Colima,Colima,Colima,200,5
0600200011570,1.943782689637576,0.013263267907380196,0.0062752019842548514,10.828692912563024,0.00584696939535693,Colima,Colima,Colima,184,1
0600200011585,0.34772853152615923,0.0024760356369155447,0.0010461998780775096,1.9198894746648465,0.0009831659929753172,Colima,Colima,Colima,290,1
060020001159A,4.671881869483809,0.03252263038021098,0.013974601799749372,25.17861194485303,0.009600376213478501,Colima,Colima,Colima,1439,1
0600200011602,3.1402253727340725,0.021957020608819978,0.009336342164490181,16.955086925215618,0.006524183275731532,Colima,Colima,Colima,1340,2
0600200011617,2.5356736159132773,0.01760035895104281,0.007554175642772149,13.79681308605054,0.005843905317142973,Colima,Colima,Colima,1347,2
0600200011621,1.569322031141794,0.010877464038213656,0.004644449810603388,8.559304254603965,0.003840389602566567,Colima,Colima,Colima,1770,1
0600200011636,1.120765254092981,0.00778273000678869,0.003300180543864504,6.115653147555052,0.0026063821021381386,Colima,Colima,Colima,969,2
0600200011640,1.341106815728047,0.009053839426272381,0.0043351447324202295,7.510317821721272,0.004059214749762582,Colima,Colima,Colima,324,1
0600200011655,2.817272496135695,0.018502767462629525,0.008977442024037717,15.716636284104167,0.008280469051982051,Colima,Colima,Colima,670,1
0600200011674,1.7094012174815287,0.012035148632612727,0.00508469973988524,9.420865249532186,0.005100523011219684,Colima,Colima,Colima,1874,2
0600200011689,1.288995956495587,0.00902990831526579,0.003787077185592976,7.1609993491822035,0.003709717549113269,Colima,Colima,Colima,374,2
0600200011706,3.2614194519441915,0.022803113962839273,0.010026671258860987,17.97415048648829,0.009386760668736038,Colima,Colima,Colima,163,1
0600200011710,0.9972424131862392,0.006951197145021868,0.002949833670527315,5.416819725955452,0.0020894774114795906,Colima,Colima,Colima,663,1
0600500010108,3.985339025838956,0.02606339439032484,0.012074314808126138,23.013553244122104,0.008212573596973036,Colima,Cuauhtémoc,Cuauhtémoc,1905,2
0600500010112,4.67155863150949,0.030341294744849413,0.014028427472761333,26.85155900553059,0.010863997260736422,Colima,Cuauhtémoc,Cuauhtémoc,2186,2
0600500010150,3.5885346954843005,0.02321055043680504,0.010716440698522085,20.581760643727645,0.009426330244142161,Colima,Cuauhtémoc,Cuauhtémoc,292,2
0600500010184,2.0770457425476834,0.013343579536730984,0.0063035875086491985,12.021556676974075,0.00457366872901663,Colima,Cuauhtémoc,Cuauhtémoc,691,2
0600500010220,1.9753207523966587,0.012849274472785324,0.005919634665744707,11.334638204710036,0.004789795472009425,Colima,Cuauhtémoc,Cuauhtémoc,1250,3
0600500010235,5.50521682533739,0.03599567221366093,0.01651123106840815,31.56297283149614,0.01288189281977462,Colima,Cuauhtémoc,Cuauhtémoc,1746,3
0600500010288,2.860736866224392,0.0184907964174694,0.008691924457263779,16.555639437541032,0.006127677701455101,Colima,Cuauhtémoc,Cuauhtémoc,592,2
0600500010292,1.8422252758097706,0.01205331609367357,0.005583923790372351,10.636579431766565,0.0037635101647881053,Colima,Cuauhtémoc,Cuauhtémoc,726,2
0600500010339,0.7171312326359015,0.004533631518871182,0.002186444026686046,4.1803741670184795,0.0017167169818261745,Colima,Cuauhtémoc,Cuauhtémoc,234,1
0600500180038,4.921117021656286,0.027507067058633126,0.014593804139044098,28.549352220076756,0.012516654654720915,Colima,Cuauhtémoc,Quesería,3341,3
0600500180080,3.81174710230675,0.021710967730316336,0.01134020053948824,22.107719959939498,0.009837590209901033,Colima,Cuauhtémoc,Quesería,2639,2
0600500180095,2.7996964909290334,0.01612996696527457,0.008316801305808249,16.189694986508584,0.007284454651096599,Colima,Cuauhtémoc,Quesería,1662,4
0600500180131,2.494976491521956,0.013540904208345014,0.007345994977304878,14.449457976430507,0.006214940529233332,Colima,Cuauhtémoc,Quesería,1461,3
060050018017A,3.119521861892973,0.0171905742256786,0.009238694097694478,18.102948570501017,0.008049294125030566,Colima,Cuauhtémoc,Quesería,764,2
060070001009A,7.228367332593045,0.04429768192304408,0.01984626752612675,36.37185610310719,0.017960431296851168,Colima,Manzanillo,Manzanillo,2036,3
0600700010140,0.7454108227331486,0.005854455429125899,0.0027820798746317718,4.788523387085144,0.00253994541189752,Colima,Manzanillo,Manzanillo,812,2
060070001016A,0.3799543188835132,0.003034896940756756,0.0014304547272989696,2.4778023501744775,0.001280808927206104,Colima,Manzanillo,Manzanillo,740,2
0600700010174,2.059673071599129,0.01644730893856431,0.00776021405446896,13.545943718415742,0.0069519147205709085,Colima,Manzanillo,Manzanillo,1647,4
0600700010189,1.7289730758810131,0.01278090910179681,0.006159627757327174,10.583112716968452,0.00586787263757814,Colima,Manzanillo,Manzanillo,2657,3
0600700010193,1.4083576109876423,0.011277448959895056,0.005316181794171126,9.250677300294813,0.004779911000961449,Colima,Manzanillo,Manzanillo,1064,2
