sum,CVE_LOC,CVE_MUN,CVE_ENT,CVEGEO,CVE_AGEB,system:index
5.627816960110679E-4,0001,001,06,0600100010081,0081,00000000000000000000
2.529388975136215E-4,0001,001,06,060010001019A,019A,00000000000000000001
9.440595923310228E-5,0001,001,06,0600100010359,0359,00000000000000000002
8.402262399292659E-4,0001,001,06,0600100010151,0151,00000000000000000003
7.813502508489448E-4,0001,001,06,0600100010166,0166,00000000000000000004
3.43879857113497E-4,0001,001,06,0600100010202,0202,00000000000000000005
5.147728455739185E-4,0001,001,06,0600100010217,0217,00000000000000000006
0.0014673970730218608,0001,001,06,0600100010255,0255,00000000000000000007
0.001327031079881365,0001,001,06,060010001026A,026A,00000000000000000008
7.09551441532276E-5,0001,001,06,0600100010344,0344,00000000000000000009
4.348058690975897E-4,0001,001,06,0600100010274,0274,0000000000000000000a
2.8905602679609098E-5,0001,001,06,0600100010363,0363,0000000000000000000b
7.614968232457611E-4,0001,001,06,0600100010378,0378,0000000000000000000c
2.578863023088556E-4,0001,001,06,0600100010382,0382,0000000000000000000d
4.6920462323195864E-4,0001,001,06,0600100010397,0397,00000000000000000010
7.215149948859844E-6,0001,001,06,060010001040A,040A,00000000000000000011
6.812791322643305E-4,0001,001,06,0600100010109,0109,00000000000000000012
3.9749704195732685E-4,0001,001,06,0600100010147,0147,00000000000000000013
0.0010894337517592743,0007,001,06,0600100070240,0240,0000000000000000000e
5.564120899256317E-4,0007,001,06,0600100070236,0236,00000000000000000014
6.532492629039452E-4,0007,001,06,0600100070221,0221,00000000000000000015
7.18689008995139E-4,0035,001,06,060010035033A,033A,0000000000000000000f
9.154191281687044E-4,0035,001,06,0600100350325,0325,00000000000000000016
6.977873097885805E-5,0001,002,06,060020001134A,134A,00000000000000000017
3.048801752366122E-4,0001,002,06,0600200011640,1640,00000000000000000018
0.0017505883058236533,0001,002,06,0600200011316,1316,00000000000000000019
0.002125179317943715,0001,002,06,0600200011320,1320,0000000000000000001a
4.200482847431608E-4,0001,002,06,0600200011373,1373,0000000000000000001b
0.0010086415001703114,0001,002,06,060020001159A,159A,0000000000000000001c
5.476798861838803E-4,0001,002,06,0600200011617,1617,0000000000000000001d
3.4138440435523974E-4,0001,002,06,0600200011621,1621,0000000000000000001e
7.621180164469938E-4,0001,002,06,0600200010676,0676,0000000000000000001f
0.0012917115698115934,0001,002,06,0600200010727,0727,00000000000000000020
1.9781015932837924E-4,0001,002,06,0600200011000,1000,00000000000000000021
4.0054130216985785E-4,0001,002,06,0600200010977,0977,00000000000000000022
7.193309889703559E-4,0001,002,06,0600200011091,1091,00000000000000000023
7.942186960703624E-4,0001,002,06,0600200011142,1142,00000000000000000024
2.2329193913234573E-4,0001,002,06,0600200011195,1195,00000000000000000025
2.2329193913234573E-4,0001,002,06,0600200011208,1208,00000000000000000026
7.881398684905027E-4,0001,002,06,0600200011388,1388,00000000000000000027
8.144944543798044E-4,0001,002,06,0600200010411,0411,00000000000000000028
0.0022602754544053857,0001,002,06,0600200010464,0464,00000000000000000029
7.592375138040017E-5,0001,002,06,0600200011496,1496,0000000000000000002a
0.0014127696280780287,0001,002,06,0600200010479,0479,0000000000000000002b
0.0034397491976440055,0001,002,06,0600200010483,0483,0000000000000000002c
7.28169589444077E-4,0001,002,06,0600200011481,1481,0000000000000000002d
1.9779736487778683E-4,0001,002,06,0600200010996,0996,0000000000000000002e
3.6244281646461264E-4,0001,002,06,0600200010568,0568,0000000000000000002f
0.0012032388009349374,0001,002,06,0600200010619,0619,00000000000000000030
9.090000356474407E-5,0001,002,06,0600200011693,1693,00000000000000000031
2.3779549803504624E-4,0001,002,06,0600200011104,1104,00000000000000000032
0.0013662329551233617,0001,002,06,0600200011068,1068,00000000000000000033
7.23864714800518E-4,0001,002,06,0600200011706,1706,00000000000000000034
2.846007529154111E-4,0001,002,06,0600200011689,1689,00000000000000000035
6.293493194740216E-4,0001,002,06,0600200010708,0708,00000000000000000036
3.9970178555473555E-4,0001,002,06,0600200011458,1458,00000000000000000037
4.386818681593007E-4,0001,002,06,0600200011570,1570,00000000000000000038
7.974641213028383E-5,0001,002,06,0600200011585,1585,00000000000000000039
0.0012523583344842448,0001,002,06,0600200010290,0290,0000000000000000003a
6.898472149320625E-4,0001,002,06,0600200010318,0318,0000000000000000003b
7.304410394669914E-4,0001,002,06,0600200010337,0337,0000000000000000003c
5.36972545126267E-4,0001,002,06,0600200010407,0407,0000000000000000003d
3.532324273721058E-4,0001,002,06,060020001052A,052A,0000000000000000003e
5.882361297637718E-4,0001,002,06,0600200010680,0680,0000000000000000003f
8.228074597636704E-4,0001,002,06,0600200010712,0712,00000000000000000040
8.477058163520349E-4,0001,002,06,0600200010746,0746,00000000000000000041
0.001034669099543435,0001,002,06,0600200010750,0750,00000000000000000042
8.405201044757077E-4,0001,002,06,0600200010765,0765,00000000000000000043
4.621445053745117E-4,0001,002,06,0600200010816,0816,00000000000000000044
2.7561050674295264E-4,0001,002,06,0600200011087,1087,00000000000000000045
4.347905219954127E-4,0001,002,06,0600200011123,1123,00000000000000000046
4.1621141726637867E-4,0001,002,06,0600200011157,1157,00000000000000000047
9.072383054248202E-4,0001,002,06,0600200011227,1227,00000000000000000048
1.8840257364291673E-4,0001,002,06,0600200011231,1231,00000000000000000049
3.599004479511831E-4,0001,002,06,0600200011250,1250,0000000000000000004a
3.0925158119131727E-4,0001,002,06,0600200011246,1246,0000000000000000004b
7.527917504371782E-4,0001,002,06,0600200011265,1265,0000000000000000004c
8.74223299246085E-4,0001,002,06,060020001127A,127A,0000000000000000004d
2.282240654859578E-4,0001,002,06,0600200011284,1284,0000000000000000004e
4.6905330781185124E-4,0001,002,06,0600200011161,1161,0000000000000000004f
5.116067509976967E-4,0001,002,06,0600200010549,0549,00000000000000000050
4.7861415586838995E-4,0001,002,06,0600200010572,0572,00000000000000000051
3.474830842924091E-5,0001,002,06,0600200011551,1551,00000000000000000052
0.001060180118873783,0001,002,06,0600200010801,0801,00000000000000000053
5.813266448230635E-4,0001,002,06,0600200010820,0820,00000000000000000054
8.32516625000489E-4,0001,002,06,0600200010835,0835,00000000000000000055
6.805855288800639E-4,0001,002,06,060020001084A,084A,00000000000000000056
5.75895074441948E-4,0001,002,06,0600200010854,0854,00000000000000000057
2.9157148039917944E-4,0001,002,06,0600200010869,0869,00000000000000000058
5.018333360457964E-4,0001,002,06,0600200010873,0873,00000000000000000059
8.187504545335515E-4,0001,002,06,0600200010888,0888,0000000000000000005a
5.723960378787322E-4,0001,002,06,0600200010892,0892,0000000000000000005b
0.0013659398113174254,0001,002,06,060020001091A,091A,0000000000000000005c
9.344776347972736E-4,0001,002,06,0600200010924,0924,0000000000000000005d
0.0010837310815697832,0001,002,06,0600200010943,0943,0000000000000000005e
4.994679435439576E-4,0001,002,06,0600200010958,0958,0000000000000000005f
7.966504189022556E-4,0001,002,06,0600200010962,0962,00000000000000000060
4.096875269317705E-4,0001,002,06,0600200011015,1015,00000000000000000061
4.009154358378426E-4,0001,002,06,060020001102A,102A,00000000000000000062
3.563207669856319E-4,0001,002,06,0600200011299,1299,00000000000000000063
4.031451755685811E-4,0001,002,06,0600200011354,1354,00000000000000000064
4.995616540191394E-4,0001,002,06,0600200011439,1439,00000000000000000065
6.382774965981372E-4,0001,002,06,0600200011462,1462,00000000000000000066
7.178175460540358E-4,0001,002,06,0600200010322,0322,00000000000000000067
0.0017018654052091428,0001,002,06,0600200010021,0021,00000000000000000068
3.630097739576706E-4,0001,002,06,0600200010534,0534,00000000000000000069
8.740058730857574E-4,0001,002,06,060020001077A,077A,0000000000000000006a
5.363281451046082E-4,0001,002,06,0600200010939,0939,0000000000000000006b
2.28878326387176E-4,0001,002,06,0600200010981,0981,0000000000000000006c
1.968828280345294E-4,0001,002,06,0600200011547,1547,0000000000000000006d
0.0010025064382760253,0001,002,06,0600200011405,1405,0000000000000000006e
9.960768710287676E-4,0001,002,06,0600200010341,0341,0000000000000000006f
1.258493924101877E-4,0001,002,06,0600200011212,1212,00000000000000000070
7.816079874408301E-4,0001,002,06,0600200010356,0356,00000000000000000071
8.235827290204142E-4,0001,002,06,060020001141A,141A,00000000000000000072
0.001467341117678178,0001,002,06,0600200010394,0394,00000000000000000073
6.490762218577857E-4,0001,002,06,0600200011509,1509,00000000000000000074
3.0734267127549954E-4,0001,002,06,0600200011335,1335,00000000000000000075
1.0424492528772272E-4,0001,002,06,0600200011392,1392,00000000000000000076
0.0011449013392821844,0001,002,06,0600200011513,1513,00000000000000000077
3.875675515961879E-4,0001,002,06,0600200011528,1528,00000000000000000078
0.0014609331014584696,0001,002,06,0600200011301,1301,00000000000000000079
7.718875476226873E-4,0001,002,06,0600200011053,1053,0000000000000000007a
6.78219524857998E-4,0001,002,06,0600200011072,1072,0000000000000000007b
6.687873892810602E-4,0001,002,06,0600200010731,0731,0000000000000000007c
5.586819754904808E-4,0001,002,06,0600200010784,0784,0000000000000000007d
8.444136123841909E-4,0001,002,06,0600200010799,0799,0000000000000000007e
9.467188103746925E-4,0001,002,06,0600200010638,0638,0000000000000000007f
2.2195500115419238E-4,0001,002,06,060020001166A,166A,00000000000000000080
2.7496019576123257E-4,0001,002,06,0600200011566,1566,00000000000000000081
6.82529261988948E-4,0001,002,06,0600200011602,1602,00000000000000000082
0.001291876581849809,0001,002,06,0600200011176,1176,00000000000000000083
5.698610863305475E-4,0001,002,06,0600200011532,1532,00000000000000000084
2.460608860822061E-4,0001,002,06,0600200011636,1636,00000000000000000085
3.106521292769689E-4,0001,002,06,0600200011369,1369,00000000000000000086
0.001221063567868164,0001,002,06,0600200011424,1424,00000000000000000087
1.8087712986738732E-4,0001,002,06,0600200011477,1477,00000000000000000088
7.963120791716337E-4,0001,002,06,0600200010623,0623,00000000000000000089
