sum,CVE_LOC,CVE_MUN,CVE_ENT,CVEGEO,CVE_AGEB,system:index
1.5410232604329608E-4,0001,001,06,0600100010081,0081,00000000000000000000
9.665657784786489E-5,0001,001,06,060010001019A,019A,00000000000000000001
3.017780450914075E-5,0001,001,06,0600100010359,0359,00000000000000000002
2.828604674117252E-4,0001,001,06,0600100010151,0151,00000000000000000003
0.0010631964422518087,0001,001,06,0600100010166,0166,00000000000000000004
2.145546124482708E-4,0001,001,06,0600100010202,0202,00000000000000000005
5.893542113275226E-4,0001,001,06,0600100010217,0217,00000000000000000006
0.00146030078423026,0001,001,06,0600100010255,0255,00000000000000000007
0.001720791513014531,0001,001,06,060010001026A,026A,00000000000000000008
6.04321499161551E-5,0001,001,06,0600100010344,0344,00000000000000000009
5.445992080056446E-5,0001,001,06,0600100010274,0274,0000000000000000000a
1.1157228091549327E-5,0001,001,06,0600100010363,0363,0000000000000000000b
7.973871368132424E-4,0001,001,06,0600100010378,0378,0000000000000000000c
1.5476093364071044E-4,0001,001,06,0600100010382,0382,0000000000000000000d
4.3159515064923766E-4,0001,001,06,0600100010397,0397,00000000000000000010
1.9756708467089237E-6,0001,001,06,060010001040A,040A,00000000000000000011
6.413960039514447E-4,0001,001,06,0600100010109,0109,00000000000000000012
3.205214763105109E-4,0001,001,06,0600100010147,0147,00000000000000000013
0.001632741965026643,0007,001,06,0600100070240,0240,0000000000000000000e
5.88027221886881E-4,0007,001,06,0600100070236,0236,00000000000000000014
5.267337218666907E-4,0007,001,06,0600100070221,0221,00000000000000000015
0.0011283112763570936,0035,001,06,060010035033A,033A,0000000000000000000f
7.934715344423582E-4,0035,001,06,0600100350325,0325,00000000000000000016
1.9535070895416482E-5,0001,002,06,060020001134A,134A,00000000000000000017
-2.6587555332564306E-4,0001,002,06,0600200011640,1640,00000000000000000018
8.513798792690061E-4,0001,002,06,0600200011316,1316,00000000000000000019
0.003064187384943499,0001,002,06,0600200011320,1320,0000000000000000001a
4.3969001843533503E-4,0001,002,06,0600200011373,1373,0000000000000000001b
-0.0010537628323583532,0001,002,06,060020001159A,159A,0000000000000000001c
1.5108492536048364E-4,0001,002,06,0600200011617,1617,0000000000000000001d
1.4128879048767965E-4,0001,002,06,0600200011621,1621,0000000000000000001e
-6.93375884833539E-4,0001,002,06,0600200010676,0676,0000000000000000001f
-8.053888968095296E-4,0001,002,06,0600200010727,0727,00000000000000000020
1.216232307507334E-4,0001,002,06,0600200011000,1000,00000000000000000021
-3.475908915484341E-4,0001,002,06,0600200010977,0977,00000000000000000022
-4.58484863745863E-4,0001,002,06,0600200011091,1091,00000000000000000023
-3.221619758673655E-4,0001,002,06,0600200011142,1142,00000000000000000024
6.251222686533274E-5,0001,002,06,0600200011195,1195,00000000000000000025
6.251222686533274E-5,0001,002,06,0600200011208,1208,00000000000000000026
-1.738442820525942E-5,0001,002,06,0600200011388,1388,00000000000000000027
-9.311004351962201E-4,0001,002,06,0600200010411,0411,00000000000000000028
0.0018657902607090806,0001,002,06,0600200010464,0464,00000000000000000029
7.279385070492595E-6,0001,002,06,0600200011496,1496,0000000000000000002a
-1.2315618505195761E-4,0001,002,06,0600200010479,0479,0000000000000000002b
0.002206686991939914,0001,002,06,0600200010483,0483,0000000000000000002c
-4.6382961254873344E-4,0001,002,06,0600200011481,1481,0000000000000000002d
1.1717218707463377E-4,0001,002,06,0600200010996,0996,0000000000000000002e
-1.8499749578109486E-5,0001,002,06,0600200010568,0568,0000000000000000002f
-3.944517961156965E-4,0001,002,06,0600200010619,0619,00000000000000000030
-5.5756481766416826E-5,0001,002,06,0600200011693,1693,00000000000000000031
-7.11840680144034E-5,0001,002,06,0600200011104,1104,00000000000000000032
-0.0018448009718024351,0001,002,06,0600200011068,1068,00000000000000000033
3.9812896823787777E-4,0001,002,06,0600200011706,1706,00000000000000000034
2.5913977665570576E-4,0001,002,06,0600200011689,1689,00000000000000000035
-4.1039760351690193E-4,0001,002,06,0600200010708,0708,00000000000000000036
-1.790450613716258E-4,0001,002,06,0600200011458,1458,00000000000000000037
-5.07062211634095E-4,0001,002,06,0600200011570,1570,00000000000000000038
-2.963315401584324E-5,0001,002,06,0600200011585,1585,00000000000000000039
-3.6925026622114696E-4,0001,002,06,0600200010290,0290,0000000000000000003a
-5.973155875098194E-4,0001,002,06,0600200010318,0318,0000000000000000003b
-2.395692778434005E-4,0001,002,06,0600200010337,0337,0000000000000000003c
-2.8789440873218375E-4,0001,002,06,0600200010407,0407,0000000000000000003d
2.1718434062630964E-4,0001,002,06,060020001052A,052A,0000000000000000003e
-5.20781963918396E-4,0001,002,06,0600200010680,0680,0000000000000000003f
-3.436928621091995E-4,0001,002,06,0600200010712,0712,00000000000000000040
-3.1803120566959987E-4,0001,002,06,0600200010746,0746,00000000000000000041
1.6778802224101414E-4,0001,002,06,0600200010750,0750,00000000000000000042
1.0782644745261949E-4,0001,002,06,0600200010765,0765,00000000000000000043
3.409543494767191E-4,0001,002,06,0600200010816,0816,00000000000000000044
-2.6174842357505325E-4,0001,002,06,0600200011087,1087,00000000000000000045
-1.977324619801499E-4,0001,002,06,0600200011123,1123,00000000000000000046
-3.020903145438857E-4,0001,002,06,0600200011157,1157,00000000000000000047
-9.371632231427773E-4,0001,002,06,0600200011227,1227,00000000000000000048
5.27446914176245E-5,0001,002,06,0600200011231,1231,00000000000000000049
8.354567347974734E-5,0001,002,06,0600200011250,1250,0000000000000000004a
-2.3624006786881888E-5,0001,002,06,0600200011246,1246,0000000000000000004b
-3.770159026005974E-4,0001,002,06,0600200011265,1265,0000000000000000004c
-1.0957854664461587E-4,0001,002,06,060020001127A,127A,0000000000000000004d
-1.867922443168512E-4,0001,002,06,0600200011284,1284,0000000000000000004e
-2.5141379596608506E-4,0001,002,06,0600200011161,1161,0000000000000000004f
2.65867368933573E-4,0001,002,06,0600200010549,0549,00000000000000000050
-6.848700080777825E-5,0001,002,06,0600200010572,0572,00000000000000000051
3.3685902219034454E-5,0001,002,06,0600200011551,1551,00000000000000000052
7.994424469779326E-4,0001,002,06,0600200010801,0801,00000000000000000053
-2.407959367581028E-4,0001,002,06,0600200010820,0820,00000000000000000054
-6.219864422809333E-4,0001,002,06,0600200010835,0835,00000000000000000055
1.4264283349623108E-4,0001,002,06,060020001084A,084A,00000000000000000056
3.06753247421346E-4,0001,002,06,0600200010854,0854,00000000000000000057
1.8950982832864112E-6,0001,002,06,0600200010869,0869,00000000000000000058
3.034857699044122E-5,0001,002,06,0600200010873,0873,00000000000000000059
1.61669078925675E-4,0001,002,06,0600200010888,0888,0000000000000000005a
1.46656781331761E-4,0001,002,06,0600200010892,0892,0000000000000000005b
-4.180849596975282E-4,0001,002,06,060020001091A,091A,0000000000000000005c
-5.399866603953719E-4,0001,002,06,0600200010924,0924,0000000000000000005d
7.701985725529251E-4,0001,002,06,0600200010943,0943,0000000000000000005e
2.858820431518666E-4,0001,002,06,0600200010958,0958,0000000000000000005f
6.463215574881202E-4,0001,002,06,0600200010962,0962,00000000000000000060
2.583168921426689E-4,0001,002,06,0600200011015,1015,00000000000000000061
4.29507273274259E-4,0001,002,06,060020001102A,102A,00000000000000000062
-8.102940912974224E-5,0001,002,06,0600200011299,1299,00000000000000000063
6.098781841900668E-4,0001,002,06,0600200011354,1354,00000000000000000064
-2.1282799235101415E-4,0001,002,06,0600200011439,1439,00000000000000000065
2.3659612477623012E-4,0001,002,06,0600200011462,1462,00000000000000000066
-4.135554694476857E-4,0001,002,06,0600200010322,0322,00000000000000000067
-6.907065796691769E-4,0001,002,06,0600200010021,0021,00000000000000000068
9.618477324889516E-6,0001,002,06,0600200010534,0534,00000000000000000069
1.542930671004492E-5,0001,002,06,060020001077A,077A,0000000000000000006a
1.622519882409345E-4,0001,002,06,0600200010939,0939,0000000000000000006b
-1.080471597380331E-4,0001,002,06,0600200010981,0981,0000000000000000006c
3.5091296943137533E-4,0001,002,06,0600200011547,1547,0000000000000000006d
-4.6811388428763393E-4,0001,002,06,0600200011405,1405,0000000000000000006e
-2.0811015829767497E-4,0001,002,06,0600200010341,0341,0000000000000000006f
