mean,CODIGO,ESTADO,system:index
9.112548372216122E-5,MX02,Baja California,00000000000000000000
9.197814092762076E-5,MX03,Baja California Sur,00000000000000000001
1.5062700653376975E-4,MX18,Nayarit,00000000000000000002
1.4294234579894887E-4,MX14,Jalisco,00000000000000000003
1.1224422292241553E-4,MX01,Aguascalientes,00000000000000000004
1.2906962930283068E-4,MX11,Guanajuato,00000000000000000005
1.3294112547622688E-4,MX22,Querétaro,00000000000000000006
1.3987831743352062E-4,MX13,Hidalgo,00000000000000000007
1.60844945848265E-4,MX16,Michoacán,00000000000000000008
1.539127730345329E-4,MX15,México,00000000000000000009
2.0312965492094002E-4,MX09,Distrito Federal,0000000000000000000a
1.7687680351685209E-4,MX08,Colima,0000000000000000000b
1.9418722368139206E-4,MX17,Morelos,0000000000000000000c
1.1130991540545872E-4,MX31,Yucatán,0000000000000000000d
1.2505161409983814E-4,MX04,Campeche,0000000000000000000e
1.3544708679003338E-4,MX21,Puebla,0000000000000000000f
8.68983629082285E-5,MX23,Quintana Roo,00000000000000000010
1.2909857771981566E-4,MX29,Tlaxcala,00000000000000000011
1.7215059257308612E-4,MX12,Guerrero,00000000000000000012
1.3213041431846481E-4,MX20,Oaxaca,00000000000000000013
1.5018190913825076E-4,MX27,Tabasco,00000000000000000014
1.3675251905845103E-4,MX05,Chiapas,00000000000000000015
1.0868293706343645E-4,MX26,Sonora,00000000000000000016
9.446209145187711E-5,MX06,Chihuahua,00000000000000000017
1.0238895743109673E-4,MX07,Coahuila,00000000000000000018
1.3581205487021598E-4,MX25,Sinaloa,00000000000000000019
9.976678199764517E-5,MX10,Durango,0000000000000000001a
9.836624264843346E-5,MX32,Zacatecas,0000000000000000001b
1.1782066104276959E-4,MX24,San Luis Potosí,0000000000000000001c
1.2481416764165295E-4,MX19,Nuevo León,0000000000000000001d
1.2069578603914985E-4,MX28,Tamaulipas,0000000000000000001e
1.44467543876925E-4,MX30,Veracruz,0000000000000000001f
