mean,CODIGO,ESTADO,system:index
6.190798481484713E-5,MX02,Baja California,00000000000000000000
5.5575096477977506E-5,MX03,Baja California Sur,00000000000000000001
5.3714507123962934E-5,MX18,Nayarit,00000000000000000002
5.508542446246627E-5,MX14,Jalisco,00000000000000000003
5.5471648055438426E-5,MX01,Aguascalientes,00000000000000000004
5.965386344109585E-5,MX11,Guanajuato,00000000000000000005
6.607666339169034E-5,MX22,Querétaro,00000000000000000006
7.087544284480785E-5,MX13,Hidalgo,00000000000000000007
5.383485601565004E-5,MX16,Michoacán,00000000000000000008
8.576583001908133E-5,MX15,México,00000000000000000009
1.9670290667387683E-4,MX09,Distrito Federal,0000000000000000000a
5.6625829884585226E-5,MX08,Colima,0000000000000000000b
7.4234190683303E-5,MX17,Morelos,0000000000000000000c
5.1999317131283746E-5,MX31,Yucatán,0000000000000000000d
5.003579632050981E-5,MX04,Campeche,0000000000000000000e
5.91904951767876E-5,MX21,Puebla,0000000000000000000f
4.9388264096272305E-5,MX23,Quintana Roo,00000000000000000010
6.886482239881201E-5,MX29,Tlaxcala,00000000000000000011
5.3118535299646245E-5,MX12,Guerrero,00000000000000000012
5.201122460427582E-5,MX20,Oaxaca,00000000000000000013
5.5367840722660116E-5,MX27,Tabasco,00000000000000000014
5.2049368817477836E-5,MX05,Chiapas,00000000000000000015
5.910850591189437E-5,MX26,Sonora,00000000000000000016
5.5810042703739236E-5,MX06,Chihuahua,00000000000000000017
6.110686925706363E-5,MX07,Coahuila,00000000000000000018
5.678749257496173E-5,MX25,Sinaloa,00000000000000000019
5.2891495903492206E-5,MX10,Durango,0000000000000000001a
5.162539418835767E-5,MX32,Zacatecas,0000000000000000001b
5.6524754062210205E-5,MX24,San Luis Potosí,0000000000000000001c
6.528245437189974E-5,MX19,Nuevo León,0000000000000000001d
5.907618083586369E-5,MX28,Tamaulipas,0000000000000000001e
5.8648838244040015E-5,MX30,Veracruz,0000000000000000001f
