total_aerosol_optical_depth_at_550nm_surface,particulate_matter_d_less_than_25_um_surface,CODIGO,ESTADO,system:index
0.11137738978209955,9.395108861437752E-9,MX02,Baja California,00000000000000000000
0.12430871829117734,1.3870972755423751E-8,MX03,Baja California Sur,00000000000000000001
0.133965684694167,5.351870593556778E-9,MX18,Nayarit,00000000000000000002
0.13783178415990643,7.330350349172041E-9,MX14,Jalisco,00000000000000000003
0.08831091797358151,4.309585112030282E-9,MX01,Aguascalientes,00000000000000000004
0.11197584194637765,7.52016725358557E-9,MX11,Guanajuato,00000000000000000005
0.09877326231911895,6.7781519957511785E-9,MX22,Querétaro,00000000000000000006
0.08460994363200262,5.81668134400379E-9,MX13,Hidalgo,00000000000000000007
0.19861883528911067,1.0143126685971248E-8,MX16,Michoacán,00000000000000000008
0.12554015814726133,1.0437611790429566E-8,MX15,México,00000000000000000009
0.08882220018957113,8.033667793067974E-9,MX09,Distrito Federal,0000000000000000000a
0.2163655320095942,1.2141881389548635E-8,MX08,Colima,0000000000000000000b
0.11500873771327283,8.235545167460593E-9,MX17,Morelos,0000000000000000000c
0.11502389105881425,8.609645503794058E-9,MX31,Yucatán,0000000000000000000d
0.11841828074101834,9.159984465352652E-9,MX04,Campeche,0000000000000000000e
0.08264509837859994,5.846563320497181E-9,MX21,Puebla,0000000000000000000f
0.11541474282349949,8.763246878113386E-9,MX23,Quintana Roo,00000000000000000010
0.07130319160580108,5.37842406771881E-9,MX29,Tlaxcala,00000000000000000011
0.13814200215591804,6.373460428904411E-9,MX12,Guerrero,00000000000000000012
0.09108266761788815,6.121020236111924E-9,MX20,Oaxaca,00000000000000000013
0.13113471668846202,1.1082074517386384E-8,MX27,Tabasco,00000000000000000014
0.1004029192429351,7.79196503235397E-9,MX05,Chiapas,00000000000000000015
0.1243359947751352,1.0483656537582171E-8,MX26,Sonora,00000000000000000016
0.11176628937306801,9.178735030833457E-9,MX06,Chihuahua,00000000000000000017
0.11160656005128691,7.770738637379908E-9,MX07,Coahuila,00000000000000000018
0.1393121302416172,6.645888161831432E-9,MX25,Sinaloa,00000000000000000019
0.10359364331000151,6.854326478453886E-9,MX10,Durango,0000000000000000001a
0.08769830121008686,6.2495798855060485E-9,MX32,Zacatecas,0000000000000000001b
0.09160607233435994,6.524612316407324E-9,MX24,San Luis Potosí,0000000000000000001c
0.10674283647688022,6.548556127135064E-9,MX19,Nuevo León,0000000000000000001d
0.11226410056006245,7.1592000465264054E-9,MX28,Tamaulipas,0000000000000000001e
0.11465507568538466,7.709417863351277E-9,MX30,Veracruz,0000000000000000001f
