total_aerosol_optical_depth_at_550nm_surface,particulate_matter_d_less_than_25_um_surface,CODIGO,ESTADO,system:index
0.1041693967255053,1.2897518742512739E-8,MX02,Baja California,00000000000000000000
0.11717664424759593,1.2937112149999445E-8,MX03,Baja California Sur,00000000000000000001
0.15141116020144849,1.574058869734816E-8,MX18,Nayarit,00000000000000000002
0.2007405215677671,1.9478867237597744E-8,MX14,Jalisco,00000000000000000003
0.14166719098654337,1.4554478081309901E-8,MX01,Aguascalientes,00000000000000000004
0.2809568450047624,2.2566318787563737E-8,MX11,Guanajuato,00000000000000000005
0.4259490317614504,2.5821646198503783E-8,MX22,Querétaro,00000000000000000006
0.812112264107516,6.854711047105924E-8,MX13,Hidalgo,00000000000000000007
0.3342678857059484,2.212853638526613E-8,MX16,Michoacán,00000000000000000008
0.8356845607834817,6.82694278381418E-8,MX15,México,00000000000000000009
1.246250782464002,1.1186040845553034E-7,MX09,Distrito Federal,0000000000000000000a
0.255184274647381,2.1906828467755225E-8,MX08,Colima,0000000000000000000b
0.8631310597497819,7.243252672530579E-8,MX17,Morelos,0000000000000000000c
0.16386384652200528,1.5030662498643276E-8,MX31,Yucatán,0000000000000000000d
0.15902855434228536,1.4238110834459934E-8,MX04,Campeche,0000000000000000000e
0.574123395630632,4.41965402176233E-8,MX21,Puebla,0000000000000000000f
0.1577178719799163,1.1413733230511058E-8,MX23,Quintana Roo,00000000000000000010
1.004253811913835,9.483248446084358E-8,MX29,Tlaxcala,00000000000000000011
0.33597115081140305,2.1429665824614916E-8,MX12,Guerrero,00000000000000000012
0.18563941711898435,1.6210368105098858E-8,MX20,Oaxaca,00000000000000000013
0.19650470215121604,2.47192713850712E-8,MX27,Tabasco,00000000000000000014
0.1533989637513644,2.0324854394429867E-8,MX05,Chiapas,00000000000000000015
0.10910368892561075,1.2121798199250623E-8,MX26,Sonora,00000000000000000016
0.09477992652489818,1.0998994897684462E-8,MX06,Chihuahua,00000000000000000017
0.12967544092775354,1.073626324193872E-8,MX07,Coahuila,00000000000000000018
0.1294402020298513,1.4496169628653615E-8,MX25,Sinaloa,00000000000000000019
0.09636427573745661,1.0585510456160568E-8,MX10,Durango,0000000000000000001a
0.1118805597974337,1.0087820989332048E-8,MX32,Zacatecas,0000000000000000001b
0.21204111803554335,1.3641544589617597E-8,MX24,San Luis Potosí,0000000000000000001c
0.16989926376020636,1.2850556565025945E-8,MX19,Nuevo León,0000000000000000001d
0.22397800297293533,1.4481234684834417E-8,MX28,Tamaulipas,0000000000000000001e
0.3420714875360928,2.4548306086233626E-8,MX30,Veracruz,0000000000000000001f
