id_muestra,metal,resultado
MAN-AG-M31,Arsénico,0.00291146
MAN-AG-M31,Bario,0.01821952
MAN-AG-M31,Cadmio,3.84E-05
MAN-AG-M31,Cobre,0.00307338
MAN-AG-M31,Cromo Total,6.36E-05
MAN-AG-M31,Hierro,0.00236497
MAN-AG-M31,Manganeso,0.00032031
MAN-AG-M31,Mercurio,1.75E-05
MAN-AG-M31,Níquel,
MAN-AG-M31,Selenio,
MAN-AG-M31,Plomo,
MAN-AG-M32,Arsénico,0.00116569
MAN-AG-M32,Bario,0.04727374
MAN-AG-M32,Cadmio,8.54E-06
MAN-AG-M32,Cobre,0.00087385
MAN-AG-M32,Cromo Total,0.00046194
MAN-AG-M32,Hierro,0.00251732
MAN-AG-M32,Manganeso,0.00040488
MAN-AG-M32,Mercurio,1.10E-05
MAN-AG-M32,Níquel,
MAN-AG-M32,Selenio,
MAN-AG-M32,Plomo,
COM-AG-49,Arsénico,0.001216706
COM-AG-49,Bario,0.005264507
COM-AG-49,Cadmio,6.21E-06
COM-AG-49,Cobre,0.003801896
COM-AG-49,Cromo Total,5.66E-05
COM-AG-49,Hierro,0.053883464
COM-AG-49,Manganeso,0.014205051
COM-AG-49,Mercurio,3.25E-05
COM-AG-49,Níquel,
COM-AG-49,Selenio,
COM-AG-49,Plomo,
MAN-AG-M33,Arsénico,0.00110447
MAN-AG-M33,Bario,0.05234506
MAN-AG-M33,Cadmio,1.22E-05
MAN-AG-M33,Cobre,0.00094687
MAN-AG-M33,Cromo Total,0.0004616
MAN-AG-M33,Hierro,0.00237705
MAN-AG-M33,Manganeso,0.0002643
MAN-AG-M33,Mercurio,2.29E-05
MAN-AG-M33,Níquel,
MAN-AG-M33,Selenio,
MAN-AG-M33,Plomo,
CUAU-AG-M1,Arsénico,0.001228
CUAU-AG-M1,Bario,0.0075939
CUAU-AG-M1,Cadmio,1.30E-05
CUAU-AG-M1,Cobre,0.001689608
CUAU-AG-M1,Cromo Total,4.32E-05
CUAU-AG-M1,Hierro,0.014510574
CUAU-AG-M1,Manganeso,0.070424502
CUAU-AG-M1,Mercurio,
CUAU-AG-M1,Níquel,0.000326408
CUAU-AG-M1,Selenio,0.001609009
CUAU-AG-M1,Plomo,
MAN-AG-M34,Arsénico,0.00088442
MAN-AG-M34,Bario,0.05053346
MAN-AG-M34,Cadmio,0.0000113
MAN-AG-M34,Cobre,0.00081758
MAN-AG-M34,Cromo Total,0.00055575
MAN-AG-M34,Hierro,0.00093879
MAN-AG-M34,Manganeso,0.0001099
MAN-AG-M34,Mercurio,1.33E-05
MAN-AG-M34,Níquel,
MAN-AG-M34,Selenio,
MAN-AG-M34,Plomo,
CUAU-AG-M2,Arsénico,0.000958368
CUAU-AG-M2,Bario,0.008594907
CUAU-AG-M2,Cadmio,7.26E-06
CUAU-AG-M2,Cobre,0.001413547
CUAU-AG-M2,Cromo Total,0.000119615
CUAU-AG-M2,Hierro,0.037834416
CUAU-AG-M2,Manganeso,0.04645665
CUAU-AG-M2,Mercurio,
CUAU-AG-M2,Níquel,0.000440561
CUAU-AG-M2,Selenio,0.000407597
CUAU-AG-M2,Plomo,
MAN-AG-M35,Arsénico,0.00090611
MAN-AG-M35,Bario,0.05569113
MAN-AG-M35,Cadmio,8.35E-06
MAN-AG-M35,Cobre,0.00073793
MAN-AG-M35,Cromo Total,0.0006421
MAN-AG-M35,Hierro,0.00226474
MAN-AG-M35,Manganeso,0.00023052
MAN-AG-M35,Mercurio,1.09E-05
MAN-AG-M35,Níquel,
MAN-AG-M35,Selenio,
MAN-AG-M35,Plomo,
CUAU-AG-M50,Arsénico,0.000675443
CUAU-AG-M50,Bario,0.010646904
CUAU-AG-M50,Cadmio,1.06E-05
CUAU-AG-M50,Cobre,0.001038187
CUAU-AG-M50,Cromo Total,6.32E-05
CUAU-AG-M50,Hierro,0.021295625
CUAU-AG-M50,Manganeso,0.247457795
CUAU-AG-M50,Mercurio,3.03E-05
